sample_id,z0,z1,z2,z3,mgs_level
46,0.012125529,0.0134440735,-0.00021748245,0.010115646,MGS4
47,-0.008691974,-0.014791101,-0.0038108602,-0.0030893162,MGS4
60,0.0037833825,0.005641669,0.0009196773,0.012068845,MGS4
73,-0.02664847,-0.008769371,-0.029147245,-0.023355968,MGS4
94,0.0062474012,0.004147738,0.0058292,0.0075134113,MGS4
95,0.00386801,0.005804129,0.015956886,0.012758739,MGS4
106,0.005818218,0.00364884,0.010908615,0.0083255395,MGS4
107,-0.03569854,-0.050456055,-0.0430552,-0.053634606,MGS4
116,-0.0029623732,-0.011853762,0.014959894,0.00019606203,MGS4
124,-0.0134283565,-0.010710515,-0.010869451,-0.01120685,MGS4
125,0.0018958747,-0.001497604,0.0036696494,-0.009739734,MGS4
133,-0.02375963,-0.029726602,-0.030603848,-0.04595936,MGS4
148,0.013712209,-0.005092956,0.015934043,0.0061921105,MGS4
150,-0.036219,-0.06032712,-0.04825803,-0.048774682,MGS4
157,0.00927031,0.0035478324,0.0017416254,0.009448528,MGS4
160,-0.0017454773,-0.013406001,0.0025514737,-0.0089470595,MGS4
178,-0.0025599897,-0.0077256337,0.010660663,-0.0011814013,MGS4
198,0.015218608,0.019794732,0.0058450475,0.012595162,MGS4
203,-0.005917184,-0.012040444,-0.021155767,-0.018586084,MGS4
209,0.0045603327,-0.010297306,0.010937516,0.0038470104,MGS4
223,0.0045720562,0.0055970177,0.008059688,0.00535921,MGS4
224,-0.019371845,-0.012152955,-0.0065452047,-0.022279464,MGS4
226,-0.01595632,0.0018550381,-0.04013472,-0.013599444,MGS4
228,-0.003285326,-0.0057896674,0.011092983,0.0067815185,MGS4
232,-0.0047063977,-0.0027637184,-0.0023609325,-0.007996872,MGS4
234,0.0053360984,0.013099976,0.00984022,0.0031616092,MGS4
249,-0.0025493763,-0.004724942,0.0044062138,-0.005930744,MGS4
253,-0.018903032,0.004473619,-0.027968235,-0.01642605,MGS4
270,0.0021324903,0.0060930103,0.014837578,0.0052063093,MGS4
272,0.0030263886,0.012219749,0.0064580664,-0.0009754896,MGS4
280,-0.0039599463,-0.0028423294,0.011328332,-0.004627295,MGS4
284,0.0006763898,0.0026344582,-0.008219056,-0.010631464,MGS4
294,-0.03308285,-0.057780333,-0.05302813,-0.07354977,MGS4
300,0.007084824,0.0008272007,0.028848097,-0.008455686,MGS4
302,0.0037484355,0.01059743,0.01788012,0.007805884,MGS4
334,-0.012576722,-0.0050458983,-0.007046342,-0.016767822,MGS4
364,-0.0054164156,-0.0076929033,-0.00049784034,-0.0066268593,MGS4
383,-0.0020813942,0.008823238,0.0067784265,0.008605681,MGS4
388,-0.0024022087,0.00097524375,0.009219982,-0.0010211691,MGS4
397,0.0074038133,0.024201453,-0.0052961335,0.02476655,MGS4
403,-0.012574114,0.0010709837,-0.0020650774,-0.009412024,MGS4
411,-0.012472998,-0.014817752,-0.038456343,-0.038259514,MGS4
416,-0.017305978,0.004703112,-0.02759961,-0.0050597712,MGS4
417,-0.0016902462,-0.0070743486,-0.02743601,-0.0032554641,MGS4
419,-0.020993195,-0.016222872,-0.052156083,-0.033066116,MGS4
420,-0.015196696,0.0032816753,-0.025765896,-0.016599365,MGS4
428,-0.04805006,-0.097762235,-0.089083634,-0.037806146,MGS4
437,0.009994339,0.00031589717,-0.0069084987,-0.008973874,MGS4
451,0.008047342,0.010746442,-0.003600262,-0.0088412985,MGS4
459,-0.02313333,-0.010103188,-0.01675456,-0.030335337,MGS4
473,-0.008528255,-0.015215911,0.0062377863,0.007028386,MGS4
477,0.0027793199,-0.0018213764,-0.00016222894,0.0033638552,MGS4
484,-0.002653323,0.0015264973,-0.014068596,-0.0059446394,MGS4
497,-0.012845628,0.003688328,-0.03053721,-0.024158873,MGS4
509,0.008499239,-0.0019959062,0.019295909,0.017751522,MGS4
515,-0.016841479,-0.033451296,-0.045879833,-0.0355537,MGS4
516,-0.04147584,-0.044718213,-0.04701134,-0.051463477,MGS4
521,-0.018897414,0.0034620538,-0.019749165,-0.021989472,MGS4
523,-0.057157934,-0.07681287,-0.07649001,-0.10586303,MGS4
