,S100B,SYNC,PSMB8-AS1,C1S,BTN3A3,HCP5,HLA-DMB,LCTL,C3,PTGS1,HLA-DQA1,MOXD1,F5,CFB,C7,CYP21A2,PSMB8,MR1,FGF1,ANKRD35,B2M,CXCL12,C1R,RARRES3,HLA-B,HLA-DMA,PTX3,CCDC3,HLA-DRA,HLA-DPA1,SERPING1,PSMB9,ISLR,PLCG2,GYG2,PODN,RNASET2,TIMP4,PABPC1L,GDPD2,BTBD19,CTSZ,P2RY6,GAB3,TNFRSF11B,NNMT,VSTM4,FBLN5,LIX1,CYP4F12,TMEM98,SERPINA5,ENPP7P11,IGFN1,COPZ2,LST1,ACOX2,HFE,SLC9A9,SLC47A2,SCRG1,LINC01411,CUBN,ANO3,TMSB4X,APOBEC3C,C1RL,IGFBP7,RILPL2,TRIM22,DAAM2,CYTH4,C2,MAOB,CCND1,POM121L9P,DLGAP1-AS2,GALNT15,PLEKHS1,HLA-DOA,ARSD
10,-0.4981301,-0.93201834,0.0,0.03028031,-0.14532183,0.0,-0.031013763,-0.092741534,0.0,0.0,-0.10616057,-0.98718643,0.07828188,0.0,-0.06671557,-0.7716363,0.048754387,-0.07693375,0.0,0.0,0.013220808,0.09814596,0.0,0.0,0.0,0.0,0.047934435,-0.046373334,0.0,0.06378965,0.003160201,-0.013766727,0.01230449,0.0,0.057328675,0.0,-0.030698998,-0.0110846665,-0.04330744,0.0,-0.7733776,0.0,0.03567425,-0.51122326,-0.036452547,-0.1527541,-0.02151309,0.0,0.15174404,-0.21225089,0.13029602,0.0,-0.011300093,-0.060858756,0.0,-0.14285558,0.0,0.07689517,0.0,0.09742242,0.0,-0.06941645,-0.09576965,-0.036235176,-0.04833253,0.015603795,0.0963763,0.0,0.19828214,-0.1548609,0.06469083,0.0,0.012927173,0.12541352,0.043211423,-0.68961483,-0.053990405,0.056720346,-0.13077769,0.0,0.0
11,-0.53185743,-0.03769748,0.0,-0.012616799,-0.17215249,0.0,-0.031013763,0.050478004,0.0,0.0,-0.14148244,-1.0093111,-0.06715106,0.0,-0.06671557,-0.943652,0.048754387,-0.05282805,0.0,0.0,0.013220808,0.114364594,0.0,0.0,0.0,0.0,0.02481781,-0.058925234,0.0,0.06378965,0.003160201,-0.02268714,0.01230449,0.0,-0.22170307,0.0,-0.024563044,-0.013625574,-0.04330744,0.0,-0.67283624,0.0,0.049325593,-0.35906637,0.16126694,-0.1527541,-0.027789988,0.0,-0.07797052,-0.12641996,0.13029602,0.0,-0.01641322,-0.07223769,0.0,-0.14285558,0.0,-0.0493367,0.0,0.09742242,0.0,0.04175075,-0.084211335,-0.2720456,-0.04833253,0.028620534,0.0963763,0.0,0.19828214,-0.16197923,0.06469083,0.0,0.0077310167,0.2381311,0.043211423,-0.5093947,-0.0978409,-0.021676674,-0.2053051,0.0,0.0
12,0.36700273,-0.94913524,0.0,-0.006929658,-0.1163733,0.0,-0.031013763,-0.112350605,0.0,0.0,0.08628978,0.7873472,0.07828188,0.0,-0.06671557,-0.9997304,0.048754387,-0.12594698,0.0,0.0,-0.0064178677,0.24632534,0.0,0.0,0.0,0.0,0.122099295,-0.06396991,0.0,0.06378965,-0.43905804,-0.013766727,0.01230449,0.0,-0.41385388,0.0,-0.05722282,-0.013618546,-0.01709955,0.0,-0.6923583,0.0,0.06852442,-0.4817831,-0.01037841,-0.1408087,-0.015638852,0.0,-0.07797052,-0.109218664,0.13029602,0.0,-0.016399082,-0.046407007,0.0,-0.14285558,0.0,0.021863984,0.0,0.09742242,0.0,-0.22013567,-0.09989101,0.026146675,0.0988183,0.028584544,0.0963763,0.0,0.19129248,0.32902095,0.06469083,0.0,0.012927173,-0.0791527,-0.069723085,-0.57085043,-0.0064383447,-0.05463943,-0.13077769,0.0,0.0
13,-0.4463996,0.37132558,0.0,-0.012616799,-0.14491941,0.0,0.03935775,0.13917989,0.0,0.0,0.3095355,-1.1289427,0.07828188,0.0,-0.06671557,1.0903846,0.048754387,-0.05282805,0.0,0.0,-0.0136793405,0.030196022,0.0,0.0,0.0,0.0,-0.0891133,0.011524466,0.0,-0.08113758,-0.17181422,-0.02268714,0.01230449,0.0,-0.08265585,0.0,-0.038842745,0.011464208,-0.04330744,0.0,-0.6028773,0.0,0.08002264,-0.42354405,-0.036452547,-0.1527541,-0.027789988,0.0,-0.024482632,-0.12641996,0.13029602,0.0,-0.0327643,0.062446654,0.0,0.08137509,0.0,0.07689517,0.0,-0.118305765,0.0,0.050866373,-0.06892304,-0.1479057,-0.13256773,0.013104451,0.0963763,0.0,-0.22558928,-0.21758994,0.06469083,0.0,0.0077310167,0.09769385,0.037268136,-0.5093947,-0.09726156,0.056720346,-0.2238677,0.0,0.0
14,0.15318118,0.18682614,0.0,-0.0035381198,-0.17091763,0.0,-0.031013763,-0.029310172,0.0,0.0,0.12187256,0.6563318,-0.06715106,0.0,-0.06671557,-1.1231915,0.048754387,-0.24861178,0.0,0.0,-0.0064178677,0.13929132,0.0,0.0,0.0,0.0,-0.31261355,-0.2700942,0.0,0.06378965,-0.49873987,-0.02268714,0.027402345,0.0,-0.07498563,0.0,0.022994364,0.022285592,0.016777894,0.0,-0.27987474,0.0,0.03213776,0.6509781,0.04591433,-0.18597746,0.02352231,0.0,-0.07797052,0.1281761,-0.090382054,0.0,0.014691551,0.031338874,0.0,-0.22187147,0.0,0.021863984,0.0,0.09742242,0.0,0.04539268,0.21099196,-0.20834595,-0.036127917,0.013104451,0.0963763,0.0,-0.2606948,0.08273402,-0.06657963,0.0,0.012927173,-0.12575462,-0.12317276,-0.5355697,-0.063109785,-0.021676674,-0.3261184,0.0,0.0
15,0.37529,0.29471368,0.0,-0.012616799,-0.17886864,0.0,-0.031013763,0.13917989,0.0,0.0,0.14636031,-1.096609,-0.06715106,0.0,-0.06671557,-0.96766394,0.048754387,-0.05282805,0.0,0.0,0.013220808,0.05119175,0.0,0.0,0.0,0.0,0.047934435,-0.036843415,0.0,-0.08113758,-0.17181422,-0.06422888,0.01230449,0.0,-0.20112881,0.0,-0.10496386,-0.009548863,0.016777894,0.0,-0.77364653,0.0,0.03213776,-0.7100165,-0.036452547,-0.1408087,-0.027789988,0.0,-0.07797052,-0.1296593,-0.12785977,0.0,-0.028433861,0.041282013,0.0,0.08137509,0.0,-0.0493367,0.0,-0.118305765,0.0,-0.05646285,-0.10960533,0.08595068,-0.13256773,0.08341107,0.0963763,0.0,0.19129248,-0.21123537,0.06469083,0.0,0.012927173,0.21805522,-0.10360052,-0.611114,-0.087718196,0.056720346,0.11279827,0.0,0.0
16,-0.2870317,-1.1352819,0.0,-0.05477735,0.43194225,0.0,0.03935775,-0.03399063,0.0,0.0,-0.32573918,-1.4736882,-0.06715106,0.0,0.08381067,0.87429833,-0.030830024,-0.056001596,0.0,0.0,-0.0136793405,0.005923543,0.0,0.0,0.0,0.0,-0.10647826,0.016235085,0.0,-0.08113758,-0.04858531,0.020112582,0.016870387,0.0,0.09076531,0.0,0.022906456,-0.026459614,-0.04330744,0.0,-0.75911933,0.0,0.061872903,-0.6184552,-0.036452547,0.10446931,-0.11472426,0.0,-0.024482632,-0.21225089,0.09119253,0.0,0.0073533677,0.025894597,0.0,0.08137509,0.0,0.07689517,0.0,-0.118305765,0.0,0.055633858,0.12087476,0.033544503,0.03308571,0.028584544,0.0963763,0.0,0.19828214,-0.32141474,0.06469083,0.0,0.012927173,-0.066800095,0.043211423,-0.2048855,-0.03438466,-0.05463943,0.107126504,0.0,0.0
17,-0.63554573,-1.1385988,0.0,-0.05477735,-0.13552122,0.0,-0.031013763,-0.112350605,0.0,0.0,0.2550188,-1.0699836,0.07828188,0.0,0.08381067,0.54286224,0.048754387,-0.04383298,0.0,0.0,-0.0136793405,-0.57461095,0.0,0.0,0.0,0.0,0.04128966,0.011524466,0.0,0.06378965,-0.05309984,-0.025332194,0.016870387,0.0,-0.25618953,0.0,0.022906456,0.011458297,0.042492792,0.0,-0.89464515,0.0,0.04248277,0.17734785,-0.036452547,0.07341857,-0.11472426,0.0,-0.024482632,-0.1686534,0.09119253,0.0,-0.03272413,-0.04934493,0.0,-0.22187147,0.0,0.02945584,0.0,-0.118305765,0.0,0.05763983,0.14601086,0.039945826,-0.007555224,0.013093164,0.0963763,0.0,0.19828214,-0.2433685,0.06469083,0.0,0.016226334,-0.0659237,0.061256763,0.51385933,-0.04860847,-0.10113516,0.12560767,0.0,0.0
18,0.3964751,-1.0731115,0.0,-0.0068475874,-0.15540524,0.0,-0.031013763,-0.112350605,0.0,0.0,0.08628978,0.8684037,0.07828188,0.0,-0.06671557,-0.9933999,0.048754387,-0.24861178,0.0,0.0,-0.0064178677,-0.77655286,0.0,0.0,0.0,0.0,0.054039575,0.017872073,0.0,0.06378965,-0.14833865,-0.013766727,0.01230449,0.0,0.17359465,0.0,0.08129402,0.02226245,-0.04330744,0.0,-0.8413479,0.0,0.025015144,0.40964106,-0.01037841,-0.1408087,0.059053726,0.0,-0.07797052,-0.118989155,0.13029602,0.0,0.01467354,-0.046407007,0.0,-0.22187147,0.0,-0.008688729,0.0,0.09742242,0.0,-0.28728142,-0.09989101,0.04141073,-0.022260215,0.013093164,0.0963763,0.0,-0.22558928,-0.15588532,0.06469083,0.0,0.012927173,-0.0791527,0.037268136,-0.67730594,-0.020662153,0.056720346,-0.24475318,0.0,0.0
19,0.37529,0.87809783,0.0,-0.012616799,-0.2571074,0.0,-0.031013763,0.030868933,0.0,0.0,-0.14148244,-1.126126,0.07828188,0.0,-0.06671557,-0.7096785,-0.030830024,-0.07693375,0.0,0.0,-0.0136793405,0.1747481,0.0,0.0,0.0,0.0,0.047934435,-0.058925234,0.0,0.06378965,-0.020315364,-0.06422888,0.016870387,0.0,-0.30605498,0.0,-0.102563724,-0.05987179,-0.01709955,0.0,-0.78655916,0.0,0.02147865,-0.40208316,-0.036452547,0.08536398,-0.027789988,0.0,-0.027859006,-0.1296593,-0.12785977,0.0,0.01274978,0.031923246,0.0,-0.14285558,0.0,-0.0493367,0.0,-0.118305765,0.0,0.028710159,-0.12051697,0.09049984,-0.14046435,0.08341107,0.0963763,0.0,0.19129248,-0.1791002,0.06469083,0.0,0.012927173,-0.1265433,-0.069723085,-0.6265253,-0.052848805,0.056720346,0.1455087,0.0,0.0
20,0.33395636,-0.06473006,0.0,-0.006929658,0.5415424,0.0,-0.031013763,-0.03399063,0.0,0.0,-0.1596277,0.77675307,0.07828188,0.0,0.08381067,-0.95262915,-0.030830024,0.098748565,0.0,0.0,-0.018260423,-0.91260827,0.0,0.0,0.0,0.0,0.06271869,0.012511092,0.0,-0.08113758,0.028658528,0.05099472,0.01230449,0.0,-0.54644144,0.0,-0.13587397,-0.12690572,0.042492792,0.0,-0.68108624,0.0,0.047042757,-0.63235515,-0.0061562266,-0.1408087,-0.015638852,0.0,-0.07797052,-0.06698523,-0.090382054,0.0,0.01274978,-0.046163898,0.0,0.08137509,0.0,-0.008688729,0.0,0.09742242,0.0,-0.28449804,0.1934681,0.034972377,-0.07351222,-0.086181104,0.0963763,0.0,-0.17643514,0.5086124,0.06469083,0.0,0.012927173,-0.07599226,0.055313475,-0.57516795,0.052172728,-0.021676674,0.14296815,0.0,0.0
21,-0.49046496,-0.83776116,0.0,-0.012616799,-0.1544951,0.0,-0.031013763,-0.112350605,0.0,0.0,0.11077751,-0.6908771,0.07828188,0.0,-0.06671557,-0.8894524,0.048754387,-0.05282805,0.0,0.0,0.013220808,-0.49144822,0.0,0.0,0.0,0.0,0.03261054,-0.036843415,0.0,0.06378965,0.003160201,-0.013766727,0.01230449,0.0,-0.21671498,0.0,-0.0005493518,-0.0110846665,-0.04330744,0.0,-0.73814446,0.0,0.03567425,-0.54372203,0.16126694,-0.1527541,-0.027789988,0.0,0.15174404,-0.1686534,0.13029602,0.0,-0.011300093,-0.046407007,0.0,-0.14285558,0.0,0.02945584,0.0,0.09742242,0.0,-0.0805262,-0.09989101,-0.054892108,-0.04833253,0.015603795,0.0963763,0.0,0.19828214,-0.16197923,0.06469083,0.0,0.0077310167,-0.0791527,0.043211423,-0.5041059,-0.06114307,0.056720346,-0.12228549,0.0,0.0
22,-0.31852606,-0.97364545,0.0,-0.012616799,-0.1544951,0.0,-0.031013763,-0.112350605,0.0,0.0,0.08628978,0.7115754,0.07828188,0.0,-0.06671557,-1.0379583,0.048754387,-0.24861178,0.0,0.0,0.0062027397,-0.5128549,0.0,0.0,0.0,0.0,-0.117629215,-0.0913809,0.0,0.06378965,0.003160201,-0.013766727,0.01230449,0.0,0.12164472,0.0,-0.05722282,-0.0110846665,-0.04330744,0.0,-0.9576623,0.0,0.03567425,-0.4339503,0.04591433,-0.1408087,-0.027789988,0.0,-0.07797052,-0.07863102,0.09119253,0.0,-0.011300093,-0.034784958,0.0,-0.14285558,0.0,-0.008688729,0.0,0.09742242,0.0,-0.20391291,0.1315251,-0.036235176,-0.113962,0.015603795,0.0963763,0.0,0.19828214,-0.13001597,0.06469083,0.0,0.012927173,-0.07531619,0.043211423,-0.7147351,0.008720455,0.056720346,-0.16215584,0.0,0.0
23,-0.29053023,-0.873489,0.0,-0.012616799,-0.13253537,0.0,-0.031013763,-0.092741534,0.0,0.0,-0.23861447,-1.3219844,0.07828188,0.0,-0.06671557,0.82310534,0.048754387,0.040065117,0.0,0.0,-0.0136793405,0.122266516,0.0,0.0,0.0,0.0,0.056613557,0.0072057527,0.0,-0.08113758,-0.020315364,-0.013766727,0.01230449,0.0,-0.26575887,0.0,-0.030698998,-0.026459614,-0.04330744,0.0,-0.8479108,0.0,0.07973471,-0.40436953,-0.036452547,-0.1527541,-0.027789988,0.0,0.047657788,-0.17189273,0.09119253,0.0,0.0073533677,-0.054510128,0.0,-0.14285558,0.0,-0.0493367,0.0,-0.118305765,0.0,-0.09781112,0.14084567,0.035188273,-0.14046435,0.028584544,-0.16269994,0.0,0.19828214,-0.1791002,0.06469083,0.0,0.012927173,0.091772005,0.043211423,-0.60803676,-0.04860847,0.056720346,-0.18644789,0.0,0.0
