sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
98,2,MGS3,0.82113767,-0.31331068,0.4218147,-0.28803092,-1.155673,1.0917346,0.68009,0.5734438,-0.552002,-0.3630467,-0.99501014,-1.8267096,0.86809546,-0.2773063,-0.9270359,0.5853956
99,0,MGS1,0.9002313,0.9098222,0.61971045,-0.81553495,2.7526855,2.821483,0.4248237,-3.672028,0.5460602,-0.70961946,0.037624307,0.17660622,-1.1598464,1.0341041,0.26188612,-1.3265654
100,1,MGS2,-0.058917742,-0.29902664,0.73384625,0.4535179,-0.043389115,-0.70670277,0.3329903,-0.64995176,1.0436853,1.9786377,-1.2313306,0.64992917,1.1733034,0.08620693,0.8009464,1.3529905
101,2,MGS3,1.0670571,0.44243574,-0.59001374,-0.6717048,-0.43645772,0.8138263,0.22502488,1.8264755,-0.04728711,1.4614851,0.25075245,-0.6066169,-1.1511737,-0.32554767,-0.12934805,-0.81465155
102,1,MGS2,0.12171342,-0.22046268,0.58127123,0.30312324,0.22230922,-0.91800654,-0.43046916,-0.8658464,1.5063114,1.6169424,-1.406295,1.6740903,0.52420104,0.34198573,-0.21212924,0.4009736
103,2,MGS3,0.6253729,-0.9232478,0.5803213,-1.313033,-1.9104809,1.2212662,-0.7823123,0.9669625,0.30133745,-0.5712571,-0.21025185,-1.4740719,0.8176708,-1.5933641,-0.58852494,0.5752678
104,1,MGS2,-0.75397646,-1.3227359,0.1441511,-0.41432875,0.4325844,-0.055018313,0.6284414,-0.42486796,0.7628089,0.82246006,0.03259048,-1.8843035,1.6524991,-0.4928173,-0.10329056,0.57351476
105,1,MGS2,0.51200145,0.09463179,1.1432834,-0.3359158,0.77818936,2.0532117,0.28046262,-1.8267928,-0.4321205,-1.2324586,-0.0525051,1.002059,-0.95695245,-1.5237881,-0.24983546,2.8236823
106,3,MGS4,0.5650413,-0.74740773,-0.1736837,-0.6758562,-1.197072,0.0005807867,0.6723983,1.7099831,1.068017,-0.86590713,-0.67693645,-1.5564696,1.1241108,-1.9779689,-0.8490657,-0.032924537
107,3,MGS4,0.013155557,1.3674679,0.71668345,-1.7980114,-1.665148,-0.5961775,0.46667868,2.350057,-0.73739517,-0.1752793,-0.9716968,-2.5547915,-1.756217,1.8172389,0.28486857,0.73989034
109,0,MGS1,0.4696699,-0.7355928,0.7033733,-1.1390082,0.46905804,0.16669753,0.5735967,0.31043336,0.9376439,0.37543514,0.16555203,-0.68289006,-0.6614514,-0.39528906,-0.64901006,-1.4841989
110,2,MGS3,0.25000244,-0.058624715,-0.40456706,1.0886947,1.3908402,-0.5290301,-0.5538452,0.15075983,0.9025794,0.07113165,-1.067724,0.23364167,1.7778033,0.17648198,0.564916,-1.4637051
111,1,MGS2,0.23451427,0.8357784,0.066788495,-1.4287105,-0.6457348,-0.10218721,0.2663337,0.029937256,0.16211624,1.9345818,-0.19010368,0.6688848,0.31564057,-0.7757515,0.14684887,1.7095884
112,1,MGS2,-1.2730722,0.31970808,-0.13326742,0.318516,1.1152456,-0.46741724,0.5476137,1.5739878,1.2468965,0.75957066,-0.1723535,-1.0779101,1.1655004,1.842131,0.57468504,0.3776151
113,1,MGS2,0.5172015,-0.4230398,1.1421446,-0.9900844,0.0055716727,-0.399461,-0.4584502,0.23875707,0.026122168,0.67958087,-0.3038738,-0.40727106,0.3491107,0.091432184,0.009981694,-0.70288
114,2,MGS3,0.86008584,-0.106395535,0.9715994,1.0501192,0.7932984,-1.3250923,0.5808678,0.15853113,-0.3782799,1.8787261,0.10142274,-0.52345324,-1.5039408,-0.18793178,-0.82648855,0.9851637
115,0,MGS1,-0.36122528,0.007870539,-0.19829498,-0.9645659,0.34601018,0.8405269,-0.5900669,0.67455405,0.3437725,0.76783854,-0.6120638,-0.99389356,-0.48279473,-0.46364242,1.2002496,-0.6834643
116,3,MGS4,-1.2508556,0.12889674,-1.0503267,-1.6061907,-1.5152808,-0.4328969,0.80508184,1.6567715,0.852871,1.0637612,-0.15782645,-1.5297176,0.175311,1.4495364,0.26132593,-0.2348577
117,0,MGS1,0.78051627,0.63042307,-0.71214944,0.2495457,1.5878712,0.32881925,-0.7233284,-0.4264308,0.39411664,-1.6589788,-2.0135105,-0.020259593,0.54689187,0.33463317,0.82769305,-1.3185409
119,0,MGS1,0.05628463,0.3981248,1.4773239,-0.2678039,0.18347892,0.4046019,-0.19343153,-2.5832925,1.0446359,-1.3453742,0.4766076,-0.97741395,-0.3050466,0.7182285,0.5613709,-0.9677952
