sample_id,z0,z1,z2,z3,z4,z5,z6,z7,mgs_level
321,-0.009659966,0.021806438,-0.046152253,-0.0013672896,-0.005257472,-0.0024866778,0.0029126827,-0.00054653175,MGS1
322,-0.018570786,0.021404635,-0.026329089,-0.007375825,0.009391267,0.013286224,-0.0017636965,0.01713132,MGS1
324,-0.028163677,0.040231,-0.03108326,-0.007645238,0.020039639,0.003384417,0.006038745,0.0007737782,MGS1
335,-0.02265582,0.021650922,-0.012880061,-0.016770232,0.0028902632,0.0069771986,0.02049276,-0.012228334,MGS1
347,-0.018129935,0.028732914,-0.03884681,0.003496211,0.005896997,-0.0047182236,0.009057862,-0.010518571,MGS1
348,-0.023347264,0.025890801,-0.007160917,-0.032520074,0.0105041005,-0.0039812494,0.01708025,0.018918237,MGS1
349,0.0026188511,0.015524719,-0.0017170906,-0.018923786,0.0122547485,0.0035648923,0.00021064398,0.0022752937,MGS1
350,-0.0418443,0.043866258,-0.04020972,-0.041441757,0.01450989,0.003287455,0.020155875,-0.0035772491,MGS1
351,0.014649654,-0.040282752,0.039117303,0.014454465,-0.0033768672,-0.018637652,0.015886394,-0.0024636406,MGS1
352,-0.02257963,0.054337252,-0.05141068,-0.04559942,0.03665351,-0.00051303394,0.0027103473,-0.0069566835,MGS1
353,-0.019785961,-0.004011359,0.0044036694,0.01396751,0.0033611604,0.0034748204,-0.0015034291,0.015691957,MGS1
354,0.013988519,-0.016367618,0.0027472042,0.0009126477,0.011234291,-0.010621453,0.00652144,-0.023207866,MGS1
355,-0.027173271,0.026185181,-0.0326332,-0.015256662,-0.0012128348,0.0075981375,0.0018658389,-0.0024195109,MGS1
356,-0.008409096,0.018848252,4.77992e-05,-0.0012846924,0.010193167,0.0017669406,-0.010703909,-0.0073791854,MGS1
375,0.012207879,-0.009948425,0.008098226,0.005268123,0.013724286,-0.0017917026,0.010009841,0.0145938005,MGS1
376,0.0028644241,-0.0039877407,0.001672525,0.0028261319,0.0070014563,0.0051081534,0.0016136814,-0.0011606347,MGS1
377,-0.021427808,0.031213652,-0.04725806,-0.018499006,0.0028727022,-0.0025587287,0.006783341,-0.015764965,MGS1
379,-0.028896501,0.037853908,0.008580755,-0.018089313,0.005078519,-0.009986693,-0.007686387,0.010732671,MGS1
384,0.0011152644,-0.014960736,0.0418451,-0.00076894835,-0.012589086,-0.00032790937,0.008254771,0.017024094,MGS1
386,-0.018270945,0.04231189,-0.05058014,-0.027628321,0.0029127006,-0.011484878,-0.0035877477,0.009858308,MGS1
389,-0.016557163,-0.010005208,0.0033652373,0.0111759715,3.099395e-05,-0.0018654261,-0.0052978685,0.0038795564,MGS1
394,0.017939316,-0.00036373734,0.011339892,0.011201587,-0.0041278168,0.0014758315,-0.02335845,-0.012028847,MGS1
396,0.0045160744,0.028648917,-0.02768584,-0.02744897,0.0027765525,-0.0027782414,0.007918061,0.0061677564,MGS1
404,-0.027580058,0.04994231,-0.049031127,-0.0406905,0.0027729985,-0.01760933,0.010188286,-0.018470855,MGS1
405,-0.031142002,0.039550856,-0.014636267,-0.0038695522,-0.0027857986,-0.008725429,-0.023162106,-0.01625085,MGS1
406,-0.018672688,0.0018637283,9.816885e-05,-0.022225019,-0.002033304,-0.004531542,0.00457698,0.010452887,MGS1
413,-0.031298585,0.017709225,-0.042928044,-0.03029703,-0.0016785148,-0.0146830175,-0.014781772,-0.009445244,MGS1
414,-0.008299639,-0.016674962,0.022272792,0.006008778,0.0068736007,0.00082331896,0.0047940398,-0.0034148376,MGS1
415,-0.0048815664,0.013714943,-0.03312627,-0.015221912,0.004648302,-0.0072184447,0.000578237,0.0060547795,MGS1
425,-0.033419706,0.036815528,-0.051749032,-0.028887112,-0.0042440607,-0.005068699,-0.005617331,-0.0068588685,MGS1
447,-0.019314712,0.009725772,-0.016774435,0.0065106265,0.0030293246,-0.023176672,0.006923099,0.00850801,MGS1
452,0.03979104,-0.06390154,0.054774087,0.05212347,0.022247208,-0.0039478187,0.02658428,-0.0025482122,MGS1
466,-0.0302838,0.040189143,-0.04647656,-0.05122872,0.0047602025,-9.193458e-05,0.020954436,-0.00319192,MGS1
468,-0.013437217,0.030442681,-0.021297026,-0.017282177,0.009080201,-0.0026232991,-0.007897179,0.007114468,MGS1
480,0.007529488,-0.023545396,0.001560431,0.0061087497,-0.0031797108,-0.0017184634,0.007900176,0.009804076,MGS1
490,-0.01321028,0.025428448,-0.040891845,-0.007129241,-0.012137752,0.010030745,0.018301954,-0.00012657233,MGS1
491,-0.0112213995,0.0329197,-0.030830678,-0.021769483,-0.0058860513,-0.0059429575,0.0013832201,0.005956156,MGS1
495,-0.031913213,0.04539671,-0.04162622,-0.020243365,0.0019127703,-0.001779357,-0.0024792876,0.009052837,MGS1
499,-0.015587172,0.03530627,-0.028880972,-0.015438963,0.006372825,0.0054071303,-0.009991775,-0.004750101,MGS1
501,-0.01790147,0.01833297,-0.016693067,0.004390534,0.00017929124,-0.017633384,0.0035573442,0.0016763043,MGS1
503,-0.0034270044,0.03326213,-0.019659773,-0.021138925,-0.00400418,-0.009411195,0.010802452,-0.004137205,MGS1
506,-0.024747571,-0.0067468546,-0.0047996156,-0.00082949176,-0.0032852306,0.003401408,-0.00031456235,0.011221888,MGS1
517,-0.043617524,0.026217204,-0.02213468,-0.013769973,-0.0029919087,-0.0079588685,0.008442436,0.002750693,MGS1
518,-0.004192231,0.0180864,-0.023429293,-0.023053486,0.004852869,-0.005753154,-0.01141158,-0.0013376568,MGS1
526,-0.007548837,0.012730819,-0.0018888935,-0.007909078,-0.0074719484,-0.01044699,0.0063204626,0.0031066667,MGS1
11,-0.02533822,0.017121922,-0.0052880235,0.018098246,0.011861622,0.004901206,-0.014359697,-0.0071783606,MGS4
33,-0.0048241373,0.023382094,-0.03523613,-0.012803096,0.0066896924,-0.0028571729,-0.01980435,0.011711089,MGS4
46,-0.012462949,0.024839105,-0.008542795,-0.004883323,0.0083727725,0.024590053,0.0013878618,-0.014688108,MGS4
47,0.0039275233,0.00051133335,0.002098564,0.025667693,-0.013567507,-0.013881685,0.022325357,-0.011622699,MGS4
60,-0.0012651104,0.017426461,-0.0090207495,-0.011461865,-0.015060924,-0.0083650295,0.0073986426,-0.01644438,MGS4
73,0.010134796,-0.03778281,0.028849106,0.026177835,0.0059109186,-0.017020935,0.035264555,-0.011245372,MGS4
94,0.0032128189,0.024466056,-0.018397365,-0.007199932,0.00052335905,0.018269373,0.008082104,-0.008319743,MGS4
95,-0.0130932685,0.023093533,-0.019044649,0.0046208315,0.006254355,-0.013350261,-0.008354451,-0.007718513,MGS4
106,0.0063657276,-0.024474498,-0.057733197,0.0048401617,0.00878758,0.016989311,-0.024657926,0.01325514,MGS4
107,0.03911417,-0.09314351,0.06487723,0.09267287,-0.023671925,0.045554407,0.07355679,-0.004680248,MGS4
116,-0.004488608,0.011725944,-0.011239935,0.005404275,-0.0044205026,-0.011112975,0.011057218,0.007044861,MGS4
124,0.01460878,-0.022317026,0.01647314,0.02692495,-0.008813834,-0.001961777,-0.0049983887,-0.018222952,MGS4
125,-0.0048473384,-0.030373584,0.01495726,0.022709634,0.019035846,0.0123947915,-0.0060278354,0.0073745716,MGS4
133,0.043764167,-0.07482521,0.0783927,0.07479136,0.0016665016,-0.0062861983,0.02622961,-0.013872134,MGS4
148,0.01329732,-0.0077428836,0.012882005,0.008611424,-0.02114428,0.00425913,0.0012662311,-0.014935544,MGS4
150,0.050393574,-0.09032853,0.07645686,0.063534245,-0.039140895,0.009821778,0.033990417,-0.020667123,MGS4
157,-0.00022246502,0.0040164404,-0.0032837503,-0.016869295,0.0037811887,-0.011883052,-0.008775811,-0.024338605,MGS4
160,0.0025297347,-0.03659709,0.038161438,0.021071594,-0.006830405,0.017596668,0.024187958,0.006840227,MGS4
178,-0.0213216,0.029793255,-0.0052744783,-0.027214456,0.026789986,-0.017007032,-0.015644195,-0.015370244,MGS4
198,0.005689295,0.023906484,-0.02218512,-0.025802482,0.005705059,-0.001274066,-0.0017168995,0.005959863,MGS4
203,0.014876658,-0.028882347,0.019789983,0.052962434,0.0133490395,-0.006784478,-0.010371289,-0.009649189,MGS4
209,0.0083993245,-0.013628582,0.014453247,-0.0021028854,0.019559268,0.0075660404,0.0014121954,0.016064053,MGS4
223,-0.027258312,0.026527714,-0.016751569,-0.02579679,0.01572524,0.0091611575,-4.2195898e-06,-0.006249169,MGS4
224,0.011534477,-0.022537682,0.023752134,0.01689018,-0.022816889,-0.006549323,0.003600062,-0.0011341143,MGS4
226,0.011447044,-0.0074803345,0.002113916,0.0167568,0.029890869,0.008155672,0.017326957,0.0026116204,MGS4
228,-0.0008778777,0.0024087206,-0.016899858,-0.028699543,-0.00028361706,-0.0016007219,0.019881537,0.0010775123,MGS4
232,-0.00042798184,-0.014958035,0.040479627,0.0024386756,-0.013482109,-0.02464732,0.01698619,0.009005992,MGS4
234,-0.01079241,0.023791645,-0.017455447,-0.02306782,0.008684127,-0.007909903,0.0043502646,-0.0040002633,MGS4
249,0.0013190452,0.019270774,-0.024255514,-0.0071878918,0.014560029,-0.00485971,-0.007258299,0.0003079828,MGS4
