sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
53,1,MGS2,1.8555037,0.7891437,0.4192923,-0.7009372,-0.8816871,-0.8403601,0.0066083046,0.35454777,-0.21438433,0.409222,-0.27373523,0.62954813,0.070614986,0.4510701,-0.56244403,0.17974769
55,2,MGS3,2.8716033,1.6939673,0.8971906,-2.0245633,-0.5815418,-0.6009993,1.4773991,0.3618611,0.1683371,1.6006198,0.13641396,-0.68503904,1.1066431,0.8679794,-0.452408,0.5114578
56,1,MGS2,1.1282054,-0.2023634,-0.29022914,1.3613125,1.840165,0.6805664,-1.1223071,2.1538703,0.26750466,-0.48467854,-1.2808841,0.7677834,0.097522706,1.760896,-0.7481247,-1.7127538
57,1,MGS2,1.1649582,-0.40523145,-0.8490291,1.628594,1.8924828,-1.8751911,0.5993384,0.7808703,-0.6174112,0.4466702,-1.0511194,0.42477882,1.2256243,2.1296978,-0.053854726,-1.5128952
58,1,MGS2,1.4833524,0.38048193,0.6533133,-1.6139861,-1.3306425,-0.095199466,0.47895655,1.1917421,-1.2934564,0.3077784,0.11830555,0.09491225,0.06716836,0.21470067,-1.47506,-0.5922606
59,2,MGS3,-0.52695745,1.7208186,-0.47275415,0.31409717,0.7593242,0.6462917,0.9932041,-1.1828688,2.1660554,-0.19845739,1.0275486,-0.7713706,1.8021913,-0.2451847,0.25560656,0.7664172
60,3,MGS4,-1.3726002,0.8159336,-1.3954221,0.46583775,1.5211025,0.6983727,0.28544772,-0.7072752,-0.6634117,0.78204423,0.80343896,-0.7064062,1.2941166,0.56343013,-0.0026821098,-0.57869977
62,1,MGS2,1.1932831,-0.8504847,0.20026617,-0.46268725,0.682452,-0.71739346,0.064065345,1.116067,-0.22050217,0.2232029,-1.6856567,0.21945585,-0.68536365,1.0080689,0.10604428,-0.42641485
63,1,MGS2,1.3599446,1.6605982,-0.23979451,-1.3902259,-1.0745139,-0.39853176,0.80668575,-1.2026412,0.015928509,0.6625555,0.745492,0.45015264,0.5916096,0.07775585,-0.5626239,1.5511274
65,1,MGS2,-0.89026046,0.2770926,-0.6041954,-0.91743726,1.0660387,1.0193629,-0.27258962,0.21011926,0.47514847,0.11767027,-0.25319123,0.010009462,0.6378529,0.9475223,0.2873294,-0.30755526
66,2,MGS3,1.2678788,1.3577826,0.2944549,-2.29075,-0.6056653,-0.073283695,-0.36396086,-0.53833944,-1.2402012,0.48432592,0.8651095,0.36792117,-0.3453337,1.3327723,-0.6384455,0.30522972
67,2,MGS3,-0.6820622,-2.2426016,-0.6766283,-0.7336228,0.32403165,-0.77231616,0.8840804,0.24695984,-1.0091683,-1.0687943,0.8256097,-1.60172,0.14159533,-0.2580402,-0.6118735,-0.053179063
68,1,MGS2,1.0612475,2.1000116,-0.06333477,-1.4548016,-1.0221106,0.44361487,2.3287776,-0.49981248,0.10721592,-1.2089978,1.7019215,-0.67656523,1.0090588,-0.252133,-1.7448678,-0.29743642
70,2,MGS3,-0.93912387,2.3222144,-0.32467774,-0.07970694,-0.63237363,1.4026285,0.6730086,-0.73213947,1.2526997,-0.13875604,1.4807719,-0.40075332,1.7170058,-0.8556807,-1.2939204,0.8672397
71,1,MGS2,0.7386609,0.1894578,-0.13298705,0.6262094,2.2595437,0.50293434,-1.153778,0.9542665,1.1426963,1.243852,-0.5113247,-0.02305006,0.77076626,0.30270782,-0.057931937,1.2918773
72,1,MGS2,2.7928174,1.8948605,1.0956204,-1.7855939,-0.37078494,0.27802423,1.3884526,0.6993182,-0.5095291,1.4254202,1.3952625,-0.70555055,1.044698,-0.12093346,-2.0216975,-0.42348507
73,3,MGS4,1.0406668,2.2020907,-0.59726363,0.7884375,0.96054184,-0.1924379,0.62325746,-0.15626249,0.43591806,0.82620573,2.0628889,0.499115,1.2925476,-0.2507785,-1.6919132,-1.6065967
75,1,MGS2,-0.094733804,0.062772825,-1.4155066,0.1763165,1.2485178,0.46682078,-0.9938515,0.17589484,-0.45149904,-0.07540808,0.25157002,-0.8625971,0.23713914,-0.3346441,-0.4644506,0.31590247
76,2,MGS3,-0.5228281,2.1975684,-0.040472135,-0.79551005,-1.1366296,0.43565363,0.7449922,-0.9320675,1.2774717,0.41776693,-0.023215188,0.7819784,0.36957705,0.88371223,-0.017433794,-0.4443684
77,1,MGS2,-0.25756747,0.44151732,0.36609778,0.704346,1.1628973,-0.87548053,0.2501265,-0.17822899,0.94558567,0.5903234,-0.82162803,-0.03437116,2.400157,0.18098517,0.48961994,0.23517233
78,2,MGS3,-0.55505985,0.77068245,-0.9747856,-1.435352,0.34926242,1.2282825,0.75152236,-0.20173004,-0.18982098,0.34108803,1.2348536,-2.5124843,0.71939844,-0.18815984,-0.05163133,0.7860944
79,2,MGS3,-1.7176279,0.18915018,-0.9515815,0.6386137,0.08261511,0.4373892,0.25014976,-0.024660237,0.8309577,-0.75915307,1.0989269,-0.9620758,1.2096721,-0.46186268,-0.7336709,-0.4702357
80,1,MGS2,1.5649788,0.92554235,1.1410536,-1.3203381,1.5478469,-0.43874004,0.7859073,-0.0585732,0.8293625,1.3399007,1.3520727,-0.33313084,1.4996969,-0.51910836,0.18353374,0.19152454
81,0,MGS1,-0.5938436,-2.2114773,0.06866971,-0.5921501,0.015123667,-1.2679387,0.7351357,-0.021948785,-0.4469528,-0.38287812,0.35451382,-0.2592961,0.23698568,0.062170308,1.1747959,0.07369813
82,1,MGS2,1.0479231,0.85267764,0.15207876,-0.6339096,0.88080823,0.94600606,0.2558137,1.6340587,-0.0637322,0.9925783,-0.13772528,-0.61003935,-0.68428195,0.36238402,-1.6218537,-0.37502414
84,1,MGS2,1.007732,0.8083659,0.0453226,-1.1746302,-0.30991927,0.34603593,0.6281075,0.43235487,-0.14188014,0.79088616,1.424001,-0.13966914,-0.37781775,0.01661275,-1.893868,-0.48372722
85,1,MGS2,0.15675986,0.03712839,-0.39697066,0.21490008,-0.6483707,-1.0996276,1.1410339,0.26257926,-1.0252358,-0.35932034,0.95079136,0.4616499,1.0164056,0.48068595,-1.2872206,-2.2882512
86,1,MGS2,-0.72818464,0.34174418,-0.34651533,0.51353806,1.1009604,-0.8321517,-0.019758597,-1.32804,-0.25264207,-0.23963489,0.39922994,0.76351935,1.4099126,0.108640164,0.8031278,0.33718783
87,1,MGS2,-0.5249933,-2.3484554,-0.84375435,1.2860411,-0.4530997,-1.2422516,0.52076244,0.8863153,-1.2392601,-1.8032801,0.31658143,-0.46553016,1.4818563,-0.5758785,-0.0018654144,-1.7385861
89,0,MGS1,-0.5661068,-2.9598417,-0.19225939,-0.064442255,0.6467876,-1.2658522,1.2169226,0.33977622,-0.26883113,-1.0727825,0.99491876,-1.7603437,0.13493961,0.80507654,1.4370388,-0.86376184
90,1,MGS2,0.7833594,-2.6932638,-0.16088295,-0.35963327,-0.029534485,0.601963,1.415407,2.0122468,-0.53072864,-1.6211054,-0.029750222,-2.832928,0.3283938,-0.16940024,0.09186549,-0.61872995
91,1,MGS2,2.5326653,-0.0419165,-1.8693037,0.8185654,1.9923372,-0.18591651,0.65212876,1.1056833,-0.11661395,-2.360456,0.8074583,-0.73279256,0.9492808,-0.05540768,-1.8381373,-1.8662968
92,2,MGS3,1.0519706,0.037044764,-0.15518378,0.16486317,1.6568897,0.72211736,1.3035898,2.2610593,1.0712503,-0.90020865,0.5963493,-1.1428298,0.03488139,1.1067629,-1.5216817,-3.2738557
93,1,MGS2,0.01683116,-0.7736963,0.15207598,0.087699786,0.5933508,1.1192592,0.42133287,1.948291,1.3911729,-1.1118776,-0.7175935,-0.53066427,0.8906277,-0.7476614,-0.86169374,-1.5480124
94,3,MGS4,1.1921927,2.1594548,-0.569672,-0.7617066,1.5023195,0.17313519,-0.06237645,-0.49119076,0.89683044,1.6868237,1.4544951,0.85488707,0.12078678,0.48627704,-0.15131676,-0.12929927
95,3,MGS4,1.20168,0.96637183,0.20647758,-0.24057351,-0.9434886,-0.10788849,2.0883942,-0.20645802,-0.32273808,-0.2688739,-0.48836207,0.3474512,1.1383733,1.0891207,-0.060882084,-0.0065310565
96,2,MGS3,0.024243196,0.15988415,-0.14175172,0.64491016,-1.046784,-0.33612132,0.035809375,0.19959907,-1.5787791,-1.024579,0.8395344,0.52071005,1.947445,-0.65773094,0.07046449,-0.7953062
97,1,MGS2,-0.041230146,0.17263915,-0.05165172,-0.37577394,0.28752935,-0.5488624,-0.5931675,-0.86364394,-0.6550457,-0.85721487,0.9882405,-0.04942312,-0.14822888,-0.8942914,0.8136374,1.3033652
98,2,MGS3,1.6971046,1.5326345,0.088617064,0.6374869,2.1665354,1.0171291,0.56801087,1.0786223,1.2589186,1.0365577,-0.5799302,1.3789617,0.69833905,0.69311154,-0.12175946,-0.70185083
99,0,MGS1,-1.1535398,-2.2778447,0.6612051,0.8920969,-0.48299843,-1.0035124,0.86301136,0.76456875,0.62960875,-1.3646215,-0.9413484,-0.30559036,0.6065236,0.13031632,1.0649356,-1.0620666
