sample_id,mgs_level,z0,z1,z2,z3
349,MGS1,-0.6897624,0.41221148,-1.0523101,-0.629665
350,MGS1,0.7477101,-0.7041931,0.8080539,-0.58556205
351,MGS1,0.03171357,-0.7339655,-0.43188086,-0.12352432
352,MGS1,1.0701214,1.1477538,-0.66564554,-0.3444907
353,MGS1,-0.8120609,0.4913026,-1.0822726,1.0413464
354,MGS1,-0.840739,-0.76850486,0.24864857,0.12547767
355,MGS1,-1.3863095,0.043856837,0.40468898,0.3340812
356,MGS1,0.2756805,-1.0904868,0.9459034,0.4241759
375,MGS1,-0.08891204,0.4957985,-1.6661212,0.03617305
376,MGS1,-0.09622538,-0.7989299,1.0617492,0.94765884
377,MGS1,0.7311065,1.0093917,-0.3030354,0.14526245
379,MGS1,-0.83335763,0.15054655,0.39044935,-0.93042964
384,MGS1,1.2991343,0.597932,-0.9808068,-0.58489656
386,MGS1,0.6469497,0.06050151,0.96098655,-1.0769767
389,MGS1,-1.1387862,-0.23195791,0.7654545,0.40870228
394,MGS1,-0.36595592,0.51170415,0.12702926,1.6115376
396,MGS1,0.46400508,1.3152404,-0.90140766,0.07181446
404,MGS1,-0.12561849,0.48908985,1.218891,-0.08537947
405,MGS1,0.68257535,0.9604728,-0.2652694,1.0966985
406,MGS1,1.5586934,0.519506,0.5635272,0.8611844
413,MGS1,-0.36092502,0.70912033,0.7440765,0.028901879
414,MGS1,0.22080326,-0.11026382,0.54275924,1.5135473
415,MGS1,-0.71822715,0.73210514,-0.19024467,1.1314858
425,MGS1,0.32147208,0.64394295,1.3809,0.2870756
447,MGS1,0.5135524,-0.42391664,-0.18809679,-0.582443
452,MGS1,-0.5373702,-0.11579511,0.43438125,0.75635976
466,MGS1,0.21634182,1.9263046,-0.32565868,0.55449337
468,MGS1,-0.35473746,-0.053253002,0.24678737,0.32359588
480,MGS1,0.31262758,-0.37160227,1.0139121,-0.83132297
490,MGS1,0.26340285,0.893638,-1.0093623,-0.55941105
491,MGS1,0.6250024,0.99328184,-1.2030061,0.3750144
495,MGS1,0.33886042,0.21019238,0.98517203,-0.58066154
499,MGS1,-1.2591957,0.8965915,0.53685236,0.2415752
501,MGS1,1.3334523,1.1677909,0.016333142,0.96560985
503,MGS1,-0.8036774,0.34747738,0.6543287,-0.9140409
506,MGS1,0.42825907,0.7172901,1.26605,0.21017143
517,MGS1,0.69801927,1.8092611,-1.021062,0.8858871
518,MGS1,-0.5609987,0.94179654,0.39583942,0.33649662
526,MGS1,-0.44620112,1.2718335,-0.9790617,-0.4452488
11,MGS4,0.93691444,1.6581078,-0.66385984,0.62398666
33,MGS4,1.7074887,0.9330738,0.09158509,0.58261204
46,MGS4,0.26101562,1.5384914,-0.6390605,0.6590889
47,MGS4,0.87549126,-0.09676478,0.91671085,1.4174855
60,MGS4,0.16943073,0.41077924,-0.9081753,-0.19027708
73,MGS4,-0.4231597,0.36733523,-1.2113268,1.462429
94,MGS4,0.9304937,-0.6235714,0.62320286,0.43044844
95,MGS4,1.6093419,1.2474319,0.06290779,0.70804363
106,MGS4,-0.69620574,0.32593313,-1.4303254,-0.24901198
107,MGS4,0.6548592,0.14217958,-1.0475384,0.99543947
116,MGS4,0.37849805,-0.03533767,1.0769073,0.119427666
124,MGS4,-0.40407118,-0.24105185,-1.3848944,-0.20877768
125,MGS4,0.28049353,-0.1441351,1.0811238,1.2323381
133,MGS4,-0.80020607,0.43347293,-1.2351851,0.7829448
148,MGS4,0.2754363,-1.0792662,0.4090295,0.10046297
150,MGS4,0.73739207,-0.42752317,-0.91961545,0.868638
157,MGS4,-0.7162026,0.1729538,0.6346313,0.8414456
160,MGS4,0.6042112,0.594542,-1.012948,-0.008177858
178,MGS4,1.3458802,1.08624,-0.5499842,0.912942
198,MGS4,-0.19704252,1.254424,-0.08227133,-0.1533682
203,MGS4,-0.8554048,-0.85298824,0.27524555,0.9083122
209,MGS4,0.1720596,-0.46022075,1.2873594,-0.25264263
223,MGS4,0.58498377,0.19328393,1.1437186,1.1944084
224,MGS4,-0.57397985,-0.76444983,0.27107644,1.4625151
226,MGS4,-0.43565866,0.57845855,-0.8670069,1.677042
228,MGS4,0.8835951,1.6936777,-0.53005946,1.0821365
232,MGS4,-0.44817892,-0.26658973,0.10351593,-0.107094646
234,MGS4,-0.7503172,0.21650535,-0.12636168,-1.3087423
249,MGS4,1.1796334,1.4751043,-0.2338642,1.3112552
