sample_id,z0,z1,z2,z3,mgs_level
377,-0.07838519,0.063420445,-0.027852433,-0.053458042,MGS1
379,-0.09384045,0.055402547,-0.017778056,-0.031250782,MGS1
384,0.065411605,-0.049857214,0.01238014,-0.029920325,MGS1
386,-0.10794473,0.089801274,-0.042921267,-0.082432784,MGS1
389,-0.024485242,0.0042527616,-0.019793453,-0.0016205981,MGS1
394,-0.0009199381,-0.007177327,0.012102013,0.020018414,MGS1
396,-0.0663912,0.076019116,-0.020861099,-0.03712646,MGS1
404,-0.099970415,0.10611058,-0.04103996,-0.080264606,MGS1
405,-0.057051465,0.060887158,-0.003242636,-0.02361048,MGS1
406,0.027365588,0.0028511211,-0.0011620764,-0.024805523,MGS1
413,-0.09909947,0.07092296,-0.03199812,-0.057455577,MGS1
414,-0.00806283,-0.026544422,0.013352895,0.0020428821,MGS1
415,-0.06924687,0.07004128,-0.018887589,-0.036455162,MGS1
425,-0.112188205,0.0782748,-0.03919267,-0.053680815,MGS1
447,-0.03973131,0.058550157,-0.018588396,-0.033754908,MGS1
452,0.11986132,-0.105065115,0.042319328,0.086192034,MGS1
466,-0.11311142,0.11101181,-0.038720183,-0.11545769,MGS1
468,-0.06835109,0.06625708,-0.021896401,-0.03464309,MGS1
480,-0.0119919665,-0.0026901737,-0.02949583,-0.017527051,MGS1
490,-0.0734698,0.07092975,-0.025962198,-0.070349716,MGS1
491,-0.07927993,0.07105245,-0.021735461,-0.084950335,MGS1
495,-0.11100723,0.1148131,-0.030097308,-0.07714949,MGS1
499,-0.07745731,0.0755446,-0.040060617,-0.0345817,MGS1
501,-0.014797814,0.032443188,-0.012499148,0.005257927,MGS1
503,-0.053796776,0.06328982,-0.03544785,-0.03709296,MGS1
506,-0.02638305,0.0056891143,-0.02411476,0.011058889,MGS1
517,-0.10010032,0.066394866,-0.033160083,-0.051086046,MGS1
518,-0.060450487,0.05667369,-0.025586383,-0.027337976,MGS1
526,0.002237182,0.015778847,-0.00793601,-0.0075144097,MGS1
11,-0.035919107,0.03750828,-0.0007553939,-0.02206666,MGS4
33,-0.06593907,0.0448936,-0.016350018,-0.063002385,MGS4
46,-0.034675114,0.022671022,-4.226528e-05,-0.025705434,MGS4
47,0.009144057,0.00058963895,0.011190174,0.020405143,MGS4
60,-0.017603435,0.05709579,-0.0072661284,-0.038001448,MGS4
73,0.07189471,-0.07856703,0.039727487,0.060644053,MGS4
94,-0.04236065,0.060845032,-0.015326472,-0.04615315,MGS4
95,-0.07577574,0.07858859,-0.011528658,-0.059676893,MGS4
106,-0.055576853,0.044935815,-0.026102295,-0.01550252,MGS4
