"gene_ENSG","frequency"
"GTF3C5",1
"H2AFY",1
"HAGH",1
"HARS2",1
"HAT1",1
"HCFC1",1
"HDAC2",1
"HDAC6",1
"HEATR5B",1
"HECTD1",1
"HECW2",1
"HELZ",1
"HERC4",1
"HIKESHI",1
"HIPK2",1
"HIRA",1
"HK1",1
"HM13",1
"HMCES",1
"HMG20A",1
"HMGXB3",1
"HNRNPD",1
"HNRNPK",1
"HNRNPL",1
"HNRNPM",1
"HP1BP3",1
"HRAS",1
"HSD17B4",1
"HTRA2",1
"HTT",1
"ICE1",1
"IDH3B",1
"IDS",1
"IER3IP1",1
"IFT122",1
"IFT172",1
"IFT46",1
"IGBP1",1
"ILKAP",1
"ILVBL",1
"IMPDH2",1
"ING5",1
"INPPL1",1
"IPO7",1
"IQCE",1
"IST1",1
"ITGB5",1
"ITSN1",1
"IVNS1ABP",1
"KANSL2",1
"KANSL3",1
"KAT6A",1
"KAT6B",1
"KAT7",1
"KBTBD2",1
"KCMF1",1
"KCNAB1",1
"KCNAB2",1
"KCTD13",1
"KCTD2",1
"KDM2A",1
"KDM3B",1
"KDM5A",1
"KDSR",1
"KHDRBS1",1
"KIAA0232",1
"KIAA1429",1
"KIAA1715",1
"KIAA1841",1
"KIDINS220",1
"KLC1",1
"KLC2",1
"KLHDC10",1
"KPNA1",1
"KPNA4",1
"KSR1",1
"L1CAM",1
"L3MBTL2",1
"LAMTOR1",1
"LAMTOR5",1
"LARP1",1
"LARP4",1
"LAS1L",1
"LATS1",1
"LBR",1
"LCOR",1
"LIN7C",1
"LINC00493",1
"LRIG1",1
"LRRFIP1",1
"LSAMP",1
"LSM14A",1
"LUZP1",1
"LZTR1",1
"M6PR",1
"MAGED2",1
"MAGI2",1
"MAGOH",1
"MAN1B1",1
"MANBA",1
"MAP2K5",1
"MAP3K13",1
"MAP4K4",1
"MAP6",1
"MAP7D1",1
"MAP7D2",1
"MAP9",1
"MAPK14",1
"MAPK3",1
"MAPK8IP1",1
"MAPK9",1
"MAPKAP1",1
"MAPKAPK5",1
"MAPRE2",1
"MAPRE3",1
"MAT2B",1
"MAU2",1
"MBD1",1
"MBNL1",1
"MBNL2",1
"MCMBP",1
"MDC1",1
"MECP2",1
"MED12L",1
"MED15",1
"MED29",1
"MEF2A",1
"MEGF9",1
"MEN1",1
"METTL3",1
"METTL9",1
"MGAT4A",1
"MGAT5",1
"MGST3",1
"MIB1",1
"MIIP",1
"MKKS",1
"MLF2",1
"MLLT4",1
"MMADHC",1
"MORF4L1",1
"MPHOSPH8",1
"MPPE1",1
"MRFAP1",1
"MRPL3",1
"MRPL49",1
"MRPS11",1
"MRPS16",1
"MRS2",1
"MSANTD4",1
"MSL2",1
"MTDH",1
"MTF2",1
"MTMR1",1
"MTMR9",1
"MTPAP",1
"MTX2",1
"MXD4",1
"MYH10",1
"MYL6",1
"MYO5A",1
"NAA50",1
"NALCN",1
"NAP1L1",1
"NAP1L4",1
"NAPA",1
"NAXD",1
"NBEA",1
"NCAPH2",1
"NCKAP1",1
"NCL",1
"NCOR2",1
"NDUFB4",1
"NDUFB8",1
"NDUFS1",1
"NDUFS6",1
"NDUFS8",1
"NECAP1",1
"NEK9",1
"NF2",1
"NFATC2IP",1
"NFATC3",1
"NFS1",1
"NFYC",1
"NIFK",1
"NIN",1
"NIPA2",1
"NKIRAS2",1
"NLK",1
"NMNAT2",1
"NMT1",1
"NOC2L",1
"NOL7",1
"NOLC1",1
"NONO",1
"NORAD",1
"NOVA1",1
"NPAT",1
"NPEPPS",1
"NPM1",1
"NUDT2",1
"NUDT5",1
"NUMA1",1
"NUP153",1
"NUP205",1
"NUP214",1
"NUP50",1
"NUTF2",1
"NXPE3",1
"OARD1",1
"OCIAD1",1
"OPCML",1
"ORC3",1
"ORC4",1
"OS9",1
"OSBPL9",1
"OST4",1
"OTUD6B-AS1",1
"PAICS",1
"PAK1",1
"PAK2",1
"PAM",1
"PAPD4",1
"PARG",1
"PARM1",1
"PARN",1
"PARP1",1
"PBRM1",1
"PC",1
"PCBP4",1
"PCDH9",1
"PCF11",1
"PCMTD2",1
"PCNX3",1
"PCYOX1",1
"PDE12",1
"PDIK1L",1
"PDK2",1
"PDP2",1
"PDZD4",1
"PEBP1",1
"PEX5",1
"PFDN1",1
"PFKL",1
"PFKM",1
"PFN2",1
"PHB",1
"PHF20L1",1
"PHF21A",1
"PHF5A",1
"PHKB",1
"PHKG2",1
"PHLPP1",1
"PHYHIPL",1
"PI4K2A",1
"PIAS2",1
"PICK1",1
"PIGF",1
"PIGG",1
"PIGH",1
"PIK3CA",1
"PIK3CB",1
"PIK3R4",1
"PINX1",1
"PITPNM1",1
"PJA2",1
"PLCB4",1
"PLD3",1
"PLEKHA3",1
"PLEKHB1",1
"PLEKHB2",1
"PMVK",1
"POLH",1
"POLL",1
"POLR2G",1
"POMT2",1
"POR",1
"PPARD",1
"PPCS",1
"PPFIA1",1
"PPHLN1",1
"PPIA",1
"PPIP5K1",1
"PPM1L",1
"PPP1CC",1
"PPP1R12B",1
"PPP1R26",1
"PPP1R8",1
"PPP1R9B",1
"PPP2R2A",1
"PPP2R5B",1
"PPP2R5D",1
"PPP4R3A",1
"PPP4R3B",1
"PPP5C",1
"PPP6R1",1
"PPRC1",1
"PRCC",1
"PRDX3",1
"PRKAB1",1
"PRKAG1",1
"PRKAR1A",1
"PRKCB",1
"PRKDC",1
"PRMT1",1
"PRPF38B",1
"PRR13",1
"PRR14",1
"PRUNE2",1
"PSEN1",1
"PSENEN",1
"PSIP1",1
"PSMA1",1
"PSMA5",1
"PSMA6",1
"PSMA7",1
"PSMB3",1
"PSMB5",1
"PSMB6",1
"PSMD10",1
"PSMD4",1
"PSMD7",1
"PSME3",1
"PSPC1",1
"PTBP1",1
"PTGES3",1
"PTK2",1
"PTPA",1
"PTPN21",1
"PTPRM",1
"PTS",1
"PTTG1IP",1
"PUF60",1
"PWP1",1
"PYCR2",1
"QRICH1",1
"R3HDM4",1
"RAB11B",1
"RAB11FIP2",1
"RAB11FIP3",1
"RAB12",1
"RAB18",1
"RAB1A",1
"RAB1B",1
"RAB7A",1
"RABEP1",1
"RACK1",1
"RAE1",1
"RALGPS2",1
"RAN",1
"RANBP2",1
"RANBP3",1
"RAP1GAP",1
"RAP1GAP2",1
"RARS",1
"RASA2",1
"RAVER2",1
"RB1",1
"RBBP4",1
"RBM18",1
"RBM27",1
"RBM4B",1
"RBMXL1",1
"RBSN",1
"REPIN1",1
"REPS1",1
"RER1",1
"RERE",1
"REV1",1
"RFX3",1
"RGS8",1
"RHBDD1",1
"RIC3",1
"RIMKLB",1
"RIMS1",1
"RNF123",1
"RNF14",1
"RNF146",1
"RNF167",1
"RNF170",1
"RNF20",1
"RNF34",1
"RNF4",1
"RNPS1",1
"RP1",1
"RP11-382A20.3",1
"RP3-368A4.5",1
"RPF1",1
"RPL13",1
"RPL15",1
"RPL17",1
"RPL18A",1
"RPL26",1
"RPL27A",1
"RPL34",1
"RPL35A",1
"RPL36A",1
"RPL37A",1
"RPL6",1
"RPL7A",1
"RPL7L1",1
"RPRD1A",1
"RPS10",1
"RPS12",1
"RPS15A",1
"RPS16",1
"RPS17",1
"RPS18",1
"RPS19",1
"RPS27",1
"RPS5",1
"RPS7",1
"RRM1",1
"RRP1",1
"RSBN1",1
"RSPRY1",1
"RTN2",1
"RTN4",1
"RUBCN",1
"RUFY3",1
"RUNDC3A",1
"RUNX1T1",1
"SAMD8",1
"SART3",1
"SBF1",1
"SCAF11",1
"SCAI",1
"SCAMP1",1
"SCYL2",1
"SDHA",1
"SDHB",1
"SDHC",1
"SEC11A",1
"SEC11C",1
"SEC13",1
"SEC16A",1
"SEC22C",1
"SEC23IP",1
"SEC24C",1
"SEC63",1
"SEL1L",1
"SENP2",1
"SERBP1",1
"SERF2",1
