"gene","frequency"
"RCBTB2",2
"RCN2",2
"RELA",2
"RFNG",2
"RFX4",2
"RFXANK",2
"RHOQ",2
"RNF182",2
"RNF19A",2
"RNF26",2
"RNF4",2
"RNMT",2
"RP11-10K16.1",2
"RP11-754B17.1",2
"RP11-798M19.6",2
"RP11-88H12.2",2
"RP5-1021I20.5",2
"RPL36",2
"RPS15",2
"RPS2",2
"RPS6KB1",2
"RSL24D1",2
"RUNDC3A",2
"RUNX1T1",2
"S100A16",2
"SACM1L",2
"SAP30",2
"SBSPON",2
"SCAF1",2
"SCAF11",2
"SCAP",2
"SCN1A",2
"SCN9A",2
"SCYL2",2
"SDAD1",2
"SDCBP",2
"SEC61G",2
"SELO",2
"SEPSECS",2
"SET",2
"SETD1A",2
"SETD2",2
"SFMBT1",2
"SGSM3",2
"SH2B1",2
"SHISA9",2
"SHOC2",2
"SLC25A46",2
"SLC26A6",2
"SLC39A3",2
"SLC39A8",2
"SLC47A2",2
"SLC7A14",2
"SLC7A6OS",2
"SLK",2
"SMAD2",2
"SMC3",2
"SMC5",2
"SMIM13",2
"SNAPC4",2
"SPATA13",2
"SPIN3",2
"SPOCK3",2
"SPRYD3",2
"SPSB1",2
"SPTB",2
"SRFBP1",2
"SRGN",2
"SSNA1",2
"STOM",2
"STUB1",2
"STX10",2
"STX12",2
"STX1B",2
"STXBP5",2
"STXBP5-AS1",2
"SUPT16H",2
"SV2A",2
"SWAP70",2
"SYMPK",2
"SYNPO2",2
"TAF1",2
"TARBP1",2
"TBC1D15",2
"TBCK",2
"TCEAL6",2
"TGFB2",2
"TIAL1",2
"TIMP4",2
"TLL1",2
"TM7SF2",2
"TMED2",2
"TMEM106B",2
"TMEM167B",2
"TMEM246",2
"TMEM87A",2
"TMSB4X",2
"TMTC1",2
"TNRC18",2
"TOX4",2
"TRAF7",2
"TRAPPC13",2
"TRAPPC8",2
"TREM1",2
"TRIP12",2
"TRMT6",2
"TSPAN17",2
"UBE2D2",2
"UBE2D3",2
"UBE2V2",2
"UBE3A",2
"UBL3",2
"UBQLN1",2
"UBXN7",2
"UCHL5",2
"UFL1",2
"UFSP2",2
"UHMK1",2
"UHRF1BP1L",2
"USO1",2
"USP15",2
"USP16",2
"USP20",2
"USP46",2
"USP5",2
"VAPA",2
"VPS54",2
"VPS9D1",2
"WBP4",2
"WDR3",2
"XAB2",2
"XRCC5",2
"YAP1",2
"YME1L1",2
"ZADH2",2
"ZCCHC17",2
"ZCCHC18",2
"ZDHHC17",2
"ZER1",2
"ZNF140",2
"ZNF197",2
"ZNF654",2
"AAGAB",1
"AAMP",1
"AAR2",1
"AASDHPPT",1
"AATK",1
"ABCA5",1
"ABCA8",1
"ABCC10",1
"ABCD3",1
"ABCE1",1
"ABHD17A",1
"ABHD5",1
"ABI3",1
"ABLIM1",1
"ABTB1",1
"AC000124.1",1
"AC007743.1",1
"AC024560.3",1
"AC083899.3",1
"AC093673.5",1
"AC129492.6",1
"ACAA1",1
"ACAT1",1
"ACOX2",1
"ACTG1P1",1
"ACTN1",1
"ACTN4",1
"ACTR1B",1
"ACTR2",1
"ACVR2A",1
"ADAM23",1
"ADAMTS3",1
"ADAMTS4",1
"ADAT2",1
"ADCY5",1
"ADD2",1
"ADGRB2",1
"ADGRB3",1
"ADGRF5",1
"ADSSL1",1
"AEBP2",1
"AF186192.5",1
"AFG3L2",1
"AGPAT1",1
"AGPAT4",1
"AGPAT5",1
"AHCYL1",1
"AHI1",1
"AIFM1",1
"AK4",1
"AKAP1",1
"AKAP12",1
"AKAP8L",1
"AKAP9",1
"AL354822.1",1
"AL356053.1",1
"ALG10B",1
"ALKBH3",1
"ALKBH8",1
"AMDHD2",1
"AMPD2",1
"ANAPC13",1
"ANKHD1",1
"ANKIB1",1
"ANKMY2",1
"ANKRD13A",1
"ANKRD26",1
"ANKRD36",1
"ANKRD49",1
"ANKRD54",1
"ANO6",1
"ANP32E",1
"ANTXR2",1
"AP3D1",1
"AP4S1",1
"APBA2",1
"APBB1",1
"APEH",1
"API5",1
"APOLD1",1
"APPBP2",1
"AQR",1
"ARFGAP1",1
"ARFGAP2",1
"ARFGAP3",1
"ARHGAP21",1
"ARHGAP23",1
"ARHGAP29",1
"ARHGAP4",1
"ARHGDIA",1
"ARHGEF1",1
"ARID2",1
"ARID4A",1
"ARID4B",1
"ARIH1",1
"ARL16",1
"ARL5A",1
"ARL8A",1
"ARMCX5",1
"ARMT1",1
"ARRB1",1
"ARSD",1
"ARSJ",1
"ASAP2",1
"ASH2L",1
"ASIC4",1
"ASNA1",1
"ATAD3B",1
"ATE1",1
"ATG12",1
"ATG14",1
"ATG4B",1
"ATG9A",1
"ATIC",1
"ATL1",1
"ATP13A1",1
"ATP5B",1
"ATP6AP1",1
"ATP6AP2",1
"ATP6V0D1",1
"ATP6V1F",1
"ATP6V1G2",1
"AVEN",1
"AXL",1
"AZIN1",1
"B4GALT1",1
"BACH1",1
"BAG3",1
"BAG6",1
"BANF1",1
"BBOF1",1
"BCAP29",1
"BCAT2",1
"BCL3",1
"BCR",1
"BDH1",1
"BDP1",1
"BEND6",1
"BET1",1
"BFAR",1
"BHLHE22",1
"BICD1",1
"BIN2",1
"BIN3",1
"BIVM-ERCC5",1
"BLOC1S2",1
"BLOC1S6",1
"BMI1",1
"BMPR1B",1
"BMPR2",1
"BNIP2",1
"BNIP3L",1
"BOC",1
"BOD1L1",1
"BRAP",1
"BRD7",1
"BRWD1",1
"BSG",1
"BTBD1",1
"BTBD11",1
"BTG2",1
"BZW1",1
"C11orf1",1
"C11orf65",1
"C12orf10",1
"C12orf4",1
"C14orf119",1
"C14orf132",1
"C14orf166",1
"C16orf13",1
"C16orf52",1
"C16orf58",1
"C16orf87",1
"C18orf32",1
"C18orf8",1
"C19orf48",1
"C19orf70",1
"C1D",1
"C1QL2",1
"C2orf49",1
"C3orf14",1
"C3orf18",1
"C3orf35",1
"C4orf3",1
"C4orf47",1
"C5orf22",1
"C6orf203",1
"C7",1
"C9orf142",1
"C9orf64",1
"CACHD1",1
"CACNA1E",1
"CACNA2D3",1
"CACNG2",1
"CACNG5",1
"CACTIN",1
"CADM2",1
"CADM3",1
"CADM4",1
"CADPS2",1
"CALCOCO2",1
"CALM2",1
"CALU",1
"CAMK4",1
"CAMTA2",1
"CAND1",1
"CAPN7",1
"CAPNS1",1
"CARTPT",1
"CAV1",1
"CCDC113",1
"CCDC12",1
"CCDC121",1
"CCDC125",1
"CCDC174",1
"CCDC53",1
"CCDC7",1
"CCDC94",1
"CCL28",1
"CCNC",1
"CCS",1
"CCSER1",1
"CCSER2",1
"CCT8",1
"CD164",1
"CD44",1
"CD46",1
"CD74",1
"CD81",1
"CDAN1",1
"CDC123",1
"CDC27",1
"CDC37",1
"CDC42BPB",1
"CDH18",1
"CDH7",1
"CDK17",1
"CDK18",1
"CDK4",1
"CDKL3",1
"CDV3",1
"CEBPZ",1
"CEP120",1
"CEP131",1
"CEP152",1
"CEP290",1
"CEP295",1
"CEP350",1
"CEP41",1
"CFAP44",1
"CFI",1
"CFP",1
"CH17-260O16.1",1
"CHAF1B",1
"CHD1",1
"CHD3",1
"CHD5",1
"CHGA",1
"CHI3L1",1
"CHID1",1
"CHMP1A",1
"CHORDC1",1
"CHPF",1
"CHPF2",1
"CHRDL1",1
"CHSY1",1
"CIAO1",1
"CIB1",1
"CIZ1",1
"CKMT2",1
"CLASP1",1
"CLCN7",1
"CLDN1",1
"CLDN9",1
"CLEC2B",1
"CLEC4A",1
"CLEC4F",1
"CLIC1",1
"CLIC5",1
"CLIP1",1
"CLIP2",1
"CLIP4",1
"CLNS1A",1
"CLUH",1
"CLVS1",1
"CLVS2",1
"CMPK2",1
"CNEP1R1",1
"CNGA1",1
"CNIH1",1
"CNKSR2",1
"CNN3",1
"CNOT11",1
"CNOT6",1
"CNOT6L",1
"CNOT8",1
"CNP",1
"CNTN1",1
"CNTROB",1
"COA1",1
"COG3",1
"COIL",1
"COMMD2",1
"COPB2",1
"COPS3",1
"COPS4",1
"COX10",1
"COX7A2",1
"CP",1
"CPA6",1
"CPD",1
"CPEB3",1
"CPLX3",1
"CPLX4",1
"CPNE2",1
"CPNE3",1
"CRAT",1
"CRBN",1
"CRYZL1",1
"CSDE1",1
"CSK",1
"CSMD3",1
"CSNK1E",1
"CSNK1G2",1
"CTB-75G16.3",1
"CTC-425O23.5",1
"CTC-523E23.1",1
"CTD-2012K14.5",1
"CTD-2369P2.12",1
"CTD-2377O17.1",1
"CTD-2528L19.6",1
"CTD-2619J13.19",1
"CTDSPL2",1
"CTNS",1
"CTR9",1
"CTSD",1
"CTSL",1
"CUBN",1
"CUL2",1
"CUL3",1
"CXCR4",1
"CXXC5",1
"CYB5R4",1
"CYP21A2",1
"CYP27A1",1
"CYSLTR2",1
"CYSTM1",1
"CYTH4",1
"DALRD3",1
"DAPK3",1
"DBI",1
"DCC",1
"DCTN1",1
"DCUN1D1",1
"DDB2",1
"DDHD1",1
"DDX19B",1
"DDX20",1
"DDX28",1
"DDX3Y",1
"DDX47",1
"DDX49",1
"DDX52",1
"DDX54",1
"DDX6",1
"DENND4A",1
"DGCR6L",1
"DGKB",1
"DGKE",1
"DGKI",1
"DHX34",1
"DHX40",1
"DHX9",1
"DICER1-AS1",1
"DIRC3",1
"DLGAP1-AS1",1
"DLL4",1
"DMTF1",1
"DMTN",1
"DMWD",1
"DNA2",1
"DNAAF1",1
"DNAJA1",1
"DNAJB2",1
"DNAJC12",1
"DNAJC14",1
"DNAJC21",1
"DNAJC7",1
"DNM2",1
"DNTTIP2",1
"DOC2B",1
"DPCD",1
"DPH3",1
"DPP7",1
"DPP9",1
"DST",1
"DTWD1",1
"DUSP26",1
"DXO",1
"DYNC2H1",1
"DYRK2",1
"E2F1",1
"E4F1",1
"EBAG9",1
"EBF3",1
"EBNA1BP2",1
"ECD",1
"ECI1",1
"ECT2",1
"EDC4",1
"EDF1",1
"EDNRB",1
"EEF1D",1
