"gene","frequency"
"PEX1",2
"PEX16",2
"PIAS1",2
"PIGW",2
"PIK3CB",2
"PIP5K1B",2
"PKN2",2
"PLA2G6",2
"PLCB4",2
"PLCG1",2
"PLEC",2
"PMM1",2
"PODN",2
"POLK",2
"POLR3C",2
"PPIG",2
"PPIP5K2",2
"PPP1R12A",2
"PPP4C",2
"PRCP",2
"PRPF40A",2
"PRPF4B",2
"PSMD14",2
"PSMD6",2
"PTP4A2",2
"QTRT2",2
"RAB10",2
"RAB11A",2
"RAB11FIP5",2
"RAB1A",2
"RALYL",2
"RANGAP1",2
"RARS2",2
"RB1CC1",2
"RBM18",2
"RC3H2",2
"RCHY1",2
"RCN2",2
"RFK",2
"RGS7BP",2
"RIMKLB",2
"RIPK2",2
"RNF169",2
"RNH1",2
"RP1",2
"RP1-95L4.4",2
"RP11-10L12.4",2
"RP11-155G14.5",2
"RP11-314B1.2",2
"RP11-3P22.2",2
"RPAP3",2
"RRP8",2
"RUSC2",2
"SACM1L",2
"SAMD14",2
"SAMD15",2
"SCAF11",2
"SCAP",2
"SCN1A",2
"SCN3A",2
"SCN7A",2
"SDAD1",2
"SEC63",2
"SECISBP2L",2
"SENP6",2
"SEP15",2
"SERINC1",2
"SEZ6L2",2
"SF3B5",2
"SFMBT1",2
"SGSM2",2
"SGSM3",2
"SH2B1",2
"SKA2",2
"SLC15A2",2
"SLC1A3",2
"SLC24A1",2
"SLC25A22",2
"SLC25A46",2
"SLC27A1",2
"SLC30A6",2
"SLC35A5",2
"SLC4A8",2
"SMARCA5",2
"SMS",2
"SNCA",2
"SPIN1",2
"SPTLC2",2
"SRSF11",2
"SSB",2
"SSNA1",2
"ST8SIA3",2
"STK25",2
"STOML2",2
"STX1B",2
"STX3",2
"STXBP3",2
"SUCO",2
"SUZ12",2
"TCAIM",2
"TCEA1",2
"TCEA2",2
"THAP9",2
"THSD7A",2
"TMEM127",2
"TMEM129",2
"TMEM151B",2
"TMEM168",2
"TMEM175",2
"TMEM199",2
"TMEM237",2
"TMEM30A",2
"TMOD2",2
"TMTC2",2
"TNK2",2
"TRA2A",2
"TRAF7",2
"TRIM36",2
"TRIM9",2
"TRIP12",2
"TRMT11",2
"TRMT6",2
"TSPOAP1",2
"TTC27",2
"TTYH3",2
"TUBB2B",2
"TXNDC9",2
"U2SURP",2
"UBE2V2",2
"UBXN4",2
"UBXN6",2
"UFL1",2
"UHRF1BP1L",2
"UNC5D",2
"URM1",2
"USP20",2
"VAT1",2
"VPS13A",2
"VPS9D1",2
"WBP4",2
"WDR24",2
"WDR26",2
"WDR31",2
"WIF1",2
"WIZ",2
"WNT5B",2
"XPNPEP1",2
"YME1L1",2
"YTHDC2",2
"ZBTB17",2
"ZBTB37",2
"ZBTB41",2
"ZDHHC5",2
"ZER1",2
"ZFP90",2
"ZMIZ2",2
"ZMYM4",2
"ZNF268",2
"ZNF287",2
"ZNF292",2
"ZNF502",2
"ZNF507",2
"ZNF644",2
"ZNF655",2
"ZNF692",2
"ZNF778",2
"AAGAB",1
"AATF",1
"ABCA7",1
"ABCB1",1
"ABCC10",1
"ABCC3",1
"ABCD3",1
"ABCG4",1
"ABHD13",1
"ABHD16A",1
"ABHD2",1
"ABHD8",1
"ABI2",1
"ABI3BP",1
"ABL1",1
"ABLIM2",1
"AC005154.6",1
"AC005863.1",1
"AC007238.1",1
"AC020951.1",1
"AC092835.2",1
"AC093673.5",1
"AC125232.1",1
"ACAP2",1
"ACER3",1
"ACRC",1
"ACSL3",1
"ACSS2",1
"ACTG1P1",1
"ACTR3",1
"ACVR2B",1
"ACYP1",1
"ADAM22",1
"ADAM23",1
"ADAMTSL2",1
"ADCY10P1",1
"ADGRB3",1
"ADGRL3",1
"ADNP",1
"ADORA2B",1
"AEBP2",1
"AGGF1",1
"AGPAT1",1
"AGPAT5",1
"AGRN",1
"AHDC1",1
"AIMP1",1
"AIP",1
"AK1",1
"AKAP11",1
"AKAP6",1
"AKAP9",1
"AKR7L",1
"AKT3",1
"ALB",1
"ALMS1",1
"ANAPC4",1
"ANGEL2",1
"ANGPT2",1
"ANGPTL1",1
"ANKIB1",1
"ANKRD17",1
"ANKRD36C",1
"ANKRD37",1
"ANO3",1
"ANO5",1
"ANXA1",1
"ANXA4",1
"AP000997.2",1
"AP1B1",1
"AP3B1",1
"AP3D1",1
"AP3M1",1
"AP3S1",1
"APBA2",1
"APBB2",1
"APPL1",1
"AQR",1
"ARFGAP1",1
"ARFRP1",1
"ARHGAP11B",1
"ARHGAP21",1
"ARHGEF17",1
"ARHGEF6",1
"ARHGEF9",1
"ARIH1",1
"ARIH2",1
"ARL14EP",1
"ARL2",1
"ARL5A",1
"ARL6",1
"ARL6IP6",1
"ARMC1",1
"ARMC9",1
"ARMCX4",1
"ARVCF",1
"ASB3",1
"ASB6",1
"ASIC2",1
"ASIC3",1
"ASIC4",1
"ASNA1",1
"ASPSCR1",1
"ATAD2B",1
"ATAD3A",1
"ATAD3B",1
"ATF6B",1
"ATG101",1
"ATG2A",1
"ATG2B",1
"ATG9A",1
"ATP13A1",1
"ATP13A2",1
"ATP1A3",1
"ATP2B1",1
"ATP5C1",1
"ATP5F1",1
"ATP5S",1
"ATP5SL",1
"ATP6AP2",1
"ATP6V0D1",1
"ATP6V0E1",1
"ATP6V1A",1
"ATP6V1D",1
"ATR",1
"ATXN10",1
"AURKAIP1",1
"AVIL",1
"AXIN1",1
"AZI2",1
"B3GALT5",1
"B3GAT1",1
"B3GAT2",1
"B4GALT7",1
"BACE2",1
"BAHCC1",1
"BAP1",1
"BBS10",1
"BCAN",1
"BCAP31",1
"BCAR3",1
"BCL2",1
"BCLAF1",1
"BDP1",1
"BEND6",1
"BEX4",1
"BFAR",1
"BHLHE22",1
"BICD1",1
"BIRC2",1
"BIRC3",1
"BLMH",1
"BMI1",1
"BOP1",1
"BORCS8",1
"BPNT1",1
"BPTF",1
"BRD4",1
"BRF1",1
"BRSK2",1
"BTBD1",1
"BTBD11",1
"BTBD7",1
"BTBD8",1
"BTF3L4",1
"BTG2",1
"BTG3",1
"C10orf111",1
"C11orf1",1
"C12orf10",1
"C12orf45",1
"C15orf59",1
"C18orf25",1
"C18orf8",1
"C1orf174",1
"C1orf220",1
"C1orf27",1
"C1QBP",1
"C1QTNF5",1
"C21orf62-AS1",1
"C2CD2L",1
"C2orf68",1
"C4orf47",1
"C5orf42",1
"C5orf51",1
"C6orf1",1
"C6orf120",1
"C6orf3",1
"C6orf48",1
"C7orf43",1
"C9orf114",1
"C9orf142",1
"C9orf40",1
"CAB39L",1
"CABIN1",1
"CACNA2D1",1
"CACNB4",1
"CACNG2",1
"CADM2",1
"CADM4",1
"CADPS2",1
"CALCOCO1",1
"CALD1",1
"CALM3",1
"CALY",1
"CAMK1G",1
"CAMK2A",1
"CAMK2B",1
"CAMK4",1
"CAMSAP1",1
"CAMSAP3",1
"CAPN1",1
"CAPN15",1
"CARM1",1
"CCDC113",1
"CCDC115",1
"CCDC121",1
"CCDC130",1
"CCDC28A",1
"CCDC85B",1
"CCDC88A",1
"CCDC88B",1
"CCDC94",1
"CCM2",1
"CCNG1",1
"CCNI",1
"CCP110",1
"CCPG1",1
"CCSER2",1
"CCT2",1
"CCT4",1
"CCT6A",1
"CCT8",1
"CD200",1
"CD2AP",1
"CD2BP2",1
"CD302",1
"CD53",1
"CD74",1
"CDC42SE1",1
"CDC7",1
"CDH7",1
"CDIPT",1
"CDK12",1
"CDK14",1
"CDK18",1
