patient_1,patient_2,weight
153,404,0.6912284728290697
33,396,0.6909414120101369
203,516,0.6908756843661228
107,414,0.6908062256704519
218,243,0.6908004831273873
417,428,0.6906796904868491
229,425,0.6905685131171031
384,417,0.6902374669885394
243,379,0.689537696150039
223,415,0.6895376935178172
35,139,0.6890250313387258
411,451,0.6888782729179084
302,319,0.6887699979814539
437,521,0.688647038447815
148,480,0.6886109273330062
99,291,0.6885581354451049
35,43,0.6885535008975898
33,95,0.6884003513401294
73,473,0.6882922333633813
107,477,0.6882620588288584
160,526,0.6880123607020577
163,468,0.6879174719157126
157,218,0.6877986384624422
356,377,0.6876992469532661
234,447,0.6876284071708134
107,302,0.6875982451674907
232,451,0.6875749881575703
203,226,0.6875091927279922
292,509,0.6873720289205869
41,218,0.6871772708181004
350,377,0.6870265656892035
137,317,0.6869431231119709
125,403,0.6868121038205173
149,315,0.68681105580055
33,335,0.686787024254174
224,484,0.6866987375882663
2,139,0.6865776302882332
324,386,0.686486806612906
451,477,0.6863003996790936
133,308,0.6862268333899131
145,447,0.6859716064958121
148,376,0.6859655661900335
264,403,0.6858176150032791
94,223,0.6857896575917197
117,173,0.6855934804794852
316,396,0.6853759525619818
177,317,0.6851792175875389
178,491,0.6850566502058657
148,284,0.6844283534229467
320,403,0.6841106844985683
41,237,0.6840818103780302
17,246,0.6840301015895263
203,451,0.6839956686980815
9,172,0.6839750651522162
17,319,0.6839562599191592
125,148,0.683923767252274
160,459,0.6837917092390778
42,384,0.6832349126783137
497,521,0.6832087579081166
60,396,0.6828768896479924
477,516,0.6828501547659331
43,313,0.6828427671124833
119,490,0.6828166269013873
189,217,0.6826641589497865
117,526,0.6825633993675058
350,495,0.6824116901600787
117,417,0.682150817911638
89,173,0.6820696294583423
302,351,0.6819083546637497
106,300,0.6813154072209008
60,416,0.6812956202899249
322,377,0.6811667093594564
116,490,0.6810739415386442
477,523,0.6809894642912073
251,517,0.6809484137189874
32,198,0.6808424758707979
228,353,0.680789429610838
153,246,0.6806377832926828
497,523,0.6804695491460961
266,270,0.6804210472898036
198,246,0.6802736496934291
