gene,frequency
SCUBE3,2
SCYL2,2
SECISBP2L,2
SEMA5B,2
SEPN1,2
SERPINE1,2
SF3B4,2
SGK494,2
SH3BGRL,2
SH3GL1,2
SH3PXD2A,2
SH3PXD2B,2
SHPRH,2
SLC25A3,2
SLC29A4,2
SLC30A7,2
SLC38A10,2
SLC6A6,2
SLC8A1,2
SLFNL1,2
SLITRK4,2
SLX1A-SULT1A3,2
SMG9,2
SMIM3,2
SNRNP70,2
SNX11,2
SPAG4,2
SPG7,2
SPOPL,2
SRBD1,2
SRCIN1,2
ST7,2
STAG2,2
STAM2,2
STEAP4,2
STK36,2
SYMPK,2
SYNPR,2
SZT2,2
TAF9B,2
TAZ,2
TCEA2,2
TECPR1,2
THAP4,2
THOC5,2
THUMPD1,2
TIMP3,2
TIMP4,2
TMED2,2
TMED4,2
TMED5,2
TMEM176A,2
TMEM192,2
TMEM200A,2
TMEM246,2
TMEM63B,2
TNK2,2
TP53BP2,2
TRIM66,2
TROVE2,2
TSC2,2
TSTD2,2
TUFM,2
TWF1,2
UBE4A,2
UBXN6,2
UNC5A,2
UPF1,2
USP28,2
USP33,2
VPS33A,2
VPS37A,2
VPS37D,2
VTA1,2
WDR24,2
WDR43,2
WDR73,2
WSB2,2
XAB2,2
YAP1,2
YIPF2,2
YY1AP1,2
ZBTB17,2
ZBTB22,2
ZDHHC17,2
ZDHHC5,2
ZER1,2
ZFP37,2
ZFYVE19,2
ZNF326,2
ZNF471,2
ZNF512B,2
ZNF689,2
ZW10,2
AAED1,1
AAK1,1
ABAT,1
ABCB8,1
ABCB9,1
ABCC2,1
ABCD3,1
ABCF2,1
ABCG4,1
ABHD14A,1
ABHD5,1
AC004381.6,1
AC004987.9,1
AC005224.2,1
AC006116.27,1
AC007038.7,1
AC007228.11,1
AC009403.2,1
AC013733.3,1
AC016747.3,1
AC016757.3,1
AC018638.1,1
AC073052.1,1
AC074117.10,1
AC083843.1,1
AC083843.4,1
AC108004.2,1
ACAA1,1
ACADSB,1
ACBD4,1
ACE2,1
ACER2,1
ACOX1,1
ACOX2,1
ACP5,1
ACRC,1
ACSL4,1
ACTB,1
ACTG1P1,1
ACTN2,1
ACTR10,1
ACTR1B,1
ACTR2,1
ACTR3,1
ACTR6,1
ACVR2A,1
ACVR2B,1
ACVR2B-AS1,1
ADAL,1
ADAM15,1
ADAM22,1
ADAMTS1,1
ADAMTS12,1
ADAMTS4,1
ADCK4,1
ADCY5,1
ADCY8,1
ADD1,1
ADGRG6,1
ADGRL1,1
ADGRL4,1
ADIPOR1,1
ADIRF-AS1,1
ADO,1
AF127936.9,1
AFG3L2,1
AFTPH,1
AGAP1,1
AGGF1,1
AGPAT3,1
AGT,1
AHCTF1,1
AHCYL1,1
AIDA,1
AIFM1,1
AIMP2,1
AIP,1
AK3,1
AK5,1
AKAIN1,1
AKR1E2,1
AL023806.1,1
AL157871.2,1
AL356053.1,1
ALDH4A1,1
ALDOA,1
ALKBH7,1
ALOX12-AS1,1
ALS2,1
AMACR,1
ANAPC4,1
ANGPTL1,1
ANK1,1
ANKMY1,1
ANKRD17,1
ANKRD34C,1
ANKRD36C,1
ANKRD46,1
ANKRD53,1
ANKRD55,1
ANKRD9,1
ANKS1B,1
ANKS6,1
ANO3,1
ANP32E,1
ANXA1,1
ANXA11,1
AP000473.5,1
AP000704.5,1
AP000997.1,1
AP000997.2,1
AP2A1,1
AP3S1,1
APBA2,1
APBB1,1
APEH,1
APEX1,1
APH1A,1
API5,1
APLP1,1
APPL1,1
AQR,1
ARC,1
ARF1,1
ARF3,1
ARFIP1,1
ARGLU1,1
ARHGAP11B,1
ARHGAP20,1
ARHGAP21,1
ARHGAP23,1
ARHGAP26,1
ARHGAP32,1
ARHGAP5,1
ARHGEF26,1
ARHGEF33,1
ARHGEF7,1
ARHGEF7-AS2,1
ARID2,1
ARID3A,1
ARID4A,1
ARID5B,1
ARL6,1
ARL6IP4,1
ARMC3,1
ARMC9,1
ARMCX4,1
ARRDC1,1
ARRDC2,1
ASF1A,1
ASGR1,1
ASH2L,1
