"gene","frequency"
"HDAC6",3
"HECTD1",3
"IER3IP1",3
"ILF3",3
"IQCE",3
"ITPK1",3
"JAK2",3
"KATNB1",3
"KIAA1549",3
"KIF1A",3
"KLHDC8A",3
"LAMB2",3
"LDB1",3
"LYPLA1",3
"MAP2K7",3
"MAT2A",3
"MCRIP1",3
"MGAT4A",3
"MLLT1",3
"NCOR2",3
"NDFIP2",3
"NELFB",3
"NFIX",3
"NINJ1",3
"NNMT",3
"OSMR",3
"PALM",3
"PAPPA",3
"PCED1A",3
"PLTP",3
"PLXNB2",3
"POLR3A",3
"POLRMT",3
"PROX1",3
"PRPF4B",3
"PTX3",3
"RAB11B",3
"RARRES3",3
"RAX2",3
"RCN2",3
"REPIN1",3
"RPL35A",3
"SCAF11",3
"SCRN3",3
"SELT",3
"SEPT9",3
"SETD1A",3
"SLC12A4",3
"SMAD5",3
"SNTB1",3
"STK25",3
"STMN3",3
"SUCO",3
"SYNGR1",3
"TANC2",3
"TCEAL9",3
"TCF4",3
"TESK1",3
"TFEB",3
"TMEM106B",3
"TMEM222",3
"TNS2",3
"TRAPPC8",3
"UBXN6",3
"VIMP",3
"VPS36",3
"WDR62",3
"YIPF2",3
"ZDHHC2",3
"ZDHHC21",3
"ZER1",3
"ZFP62",3
"ZGPAT",3
"ZNF252P",3
"AARS2",2
"AASDHPPT",2
"AC062029.1",2
"ACKR1",2
"ADCY8",2
"ADGRB2",2
"ADM",2
"ADORA2B",2
"AEBP2",2
"AGBL1",2
"ALKBH8",2
"ANKRD13B",2
"ANKRD26",2
"APRT",2
"ARAP2",2
"ATF3",2
"ATG4D",2
"ATG9A",2
"ATP13A2",2
"ATP6V0D1",2
"ATRN",2
"ATRX",2
"ATXN2L",2
"AVIL",2
"BAD",2
"BAP1",2
"BCAM",2
"BCLAF1",2
"BCS1L",2
"BMS1",2
"BRAF",2
"BSG",2
"C10orf10",2
"C11orf95",2
"C16orf45",2
"C16orf58",2
"C17orf49",2
"C19orf25",2
"C7",2
"C8orf33",2
"C9orf114",2
"C9orf172",2
"CABLES1",2
"CACNG7",2
"CAMTA2",2
"CAP2",2
"CAPG",2
"CAPN1",2
