"gene","frequency"
"RALGAPB",6
"RALGDS",6
"RBM28",6
"RCOR3",6
"RHOJ",6
"RNF112",6
"RP11-191L17.1",6
"RP11-327P2.7",6
"RP11-574K11.24",6
"RPL6P27",6
"RPLP2",6
"RPS5",6
"SCAMP5",6
"SEPT7",6
"SH2B1",6
"SHISA6",6
"SLC6A17",6
"SMC3",6
"SNTB1",6
"SOWAHC",6
"SPOCK2",6
"TBC1D32",6
"TBC1D4",6
"TCF4",6
"TENM1",6
"THOC5",6
"TM9SF3",6
"TM9SF4",6
"TMUB2",6
"TRAC",6
"TRAF7",6
"TRIM36",6
"TRMT2A",6
"UBXN1",6
"UG0898H09",6
"UNC45A",6
"USP1",6
"UTP3",6
"VAMP4",6
"WDR34",6
"WDR6",6
"WIPF2",6
"ZNF347",6
"ZNF41",6
"ZNF777",6
"ZNF793",6
"ZNF84",6
"ZW10",6
"AC007191.4",5
"AC100830.3",5
"ADHFE1",5
"ADORA2B",5
"AGAP12P",5
"AHDC1",5
"ANKDD1A",5
"ANKRD17",5
"AQP4",5
"ARF1",5
"ARID3B",5
"ARNT",5
"ARVCF",5
"ASNA1",5
"ATCAY",5
"ATM",5
"ATP1A3",5
"ATP6V1D",5
"BAZ1A",5
"BAZ1B",5
"BCAR3",5
"BMT2",5
"BOC",5
"C14orf159",5
"C14orf28",5
"C16orf74",5
"C5",5
"CACNG2",5
"CACNG3",5
"CADM4",5
"CALM3",5
"CASC1",5
"CBX3",5
"CCDC180",5
"CCNA2",5
"CCNT2",5
"CCT3",5
"CDK7",5
"CEP250",5
"CERS6",5
"CHD9",5
"CHMP2A",5
"CKB",5
"CLASP2",5
"CLEC7A",5
"CLPTM1L",5
"CLTB",5
"CMPK1",5
"CNOT8",5
"COA3",5
"COL1A2",5
"COL9A2",5
"COMMD2",5
"CPEB4",5
"CTB-89H12.4",5
"CTC-463A16.1",5
"CYHR1",5
"CYTH2",5
"DAAM1",5
"DENND4B",5
"DHDDS",5
"DKC1",5
"DPH2",5
"DSTN",5
"EEF1D",5
"EIF4G2",5
"ELAVL2",5
"ENO2",5
"ERO1A",5
"FAM138C",5
"FAM169A",5
"FASTK",5
"FCF1P2",5
"FNDC1",5
"FRMPD4",5
"FTH1P10",5
"GDPD5",5
"GK5",5
"GRIN2B",5
"GRK1",5
"GUCA1A",5
"HBS1L",5
"HNRNPH2",5
"HOMER3",5
"HS1BP3",5
"IBTK",5
"IDH3A",5
"IER3",5
"IGF2BP2",5
"IL6ST",5
"KCTD5",5
"KHDRBS3",5
"KIAA0586",5
"KIAA0753",5
"KIF22",5
"KLHDC3",5
"KLHL34",5
"KMT2B",5
"KRT39",5
"LCOR",5
"LGALS3",5
"LINC00092",5
"LIPA",5
"LRP3",5
"LSAMP",5
"LVRN",5
"MAK",5
"MARCH3",5
"MARCH7",5
"MAST1",5
"MATR3",5
"MCRS1",5
"MDH2",5
"MDM2",5
"MIR100HG",5
"MOGS",5
"MRPS14",5
"MT3",5
"MYSM1",5
"NCAM1",5
"NCOR2",5
"NDUFA13",5
"NDUFA3",5
"NDUFA4",5
"NOC2L",5
"NRBF2",5
"NRXN1",5
"NUCB1",5
"OARD1",5
"OBSL1",5
"ORC3",5
"OTUD7A",5
"PCGF2",5
"PCSK2",5
"PDC",5
"PDE1B",5
"PDE6D",5
"PGAM1",5
"PHF6",5
"PIM1",5
"PITHD1",5
"PITPNM1",5
"PLEKHM1P1",5
"PLS1",5
"POLRMT",5
"PPIP5K1",5
"PPP1R16A",5
"PPP3CB-AS1",5
"PQBP1",5
"PRDX2",5
"PRKCSH",5
"PSMC6",5
"PSMD6-AS2",5
"PYCR2",5
"RAB30-AS1",5
"RAB33A",5
"RAD21",5
"RAD51D",5
"RANBP3",5
"RBM42",5
"RDX",5
"RELA",5
"REXO1",5
"REXO4",5
"RGP1",5
"RIOK3",5
"RLBP1",5
"RNF111",5
"ROM1",5
"RP11-11M20.4",5
"RP11-299G20.5",5
"RP11-433A10.3",5
"RP11-44D5.1",5
"RP11-480A16.1",5
"RP11-577H5.1",5
"RP4-647C14.3",5
"RP5-882C2.2",5
"RPL23AP42",5
"RPL27A",5
"RPL30",5
"RPL4P4",5
"RPL8",5
"RPSA",5
"RSBN1",5
"RUVBL2",5
"SASH1",5
"SCG5",5
"SELM",5
"SELT",5
"SGSM3",5
"SGTB",5
"SLC24A1",5
"SLC25A5",5
"SLC35A3",5
"SLC35F1",5
"SLC7A14",5
"SMARCA4",5
"SPEF2",5
"SPIN1",5
"SRGAP3",5
"SSBP2",5
"STK35",5
"SUB1",5
"SV2A",5
"SWAP70",5
"SYNM",5
"TATDN3",5
"TCEA2",5
"TCOF1",5
"TECPR1",5
"TGFBRAP1",5
"THAP12",5
"THRA",5
"TIMM10B",5
"TMEM246",5
"TNS3",5
"TOR1AIP2",5
"TRAM1",5
"TRAPPC8",5
"TRIM38",5
"TTBK1",5
"TTPAL",5
"UBL7",5
"UBN2",5
"ULK1",5
"USP12",5
"VPS35",5
"WAC",5
"XXbac-BPG283O16.9",5
"ZDHHC18",5
"ZFPM2",5
"ZGRF1",5
"ZMAT4",5
"ZNF382",5
"ZNF395",5
"ZNF397",5
"ZNF398",5
"ZNF446",5
"ZNF521",5
"ZNF554",5
"ZNF571-AS1",5
"ZNF583",5
"ZNF629",5
"ZNF772",5
"ZNF784",5
"ZSWIM8",5
"AASDHPPT",4
"AC138430.4",4
"ACOT7",4
"ACTN1",4
"ADAM10",4
"AFF1",4
"AFG3L2",4
"AGBL4",4
"AGPAT1",4
"AK1",4
"AK8",4
"AKR1C3",4
"AP5M1",4
"APEX1",4
"AQR",4
"ARHGAP33",4
"ARID4B",4
"ARL2BP",4
"ARL8B",4
"ARMC2",4
"ARPIN",4
"ATF1",4
"ATMIN",4
"ATP5B",4
"ATP6V0D1",4
"ATP6V1C1",4
"AVL9",4
"BANF1",4
"BBS7",4
"BCCIP",4
"BLCAP",4
"BNIP2",4
"BORCS5",4
"BPTF",4
"BRD8",4
"BTG3",4
"C16orf58",4
"C20orf24",4
"C3",4
"C3orf18",4
"CABP4",4
"CALCOCO2",4
"CALM2",4
"CBLN4",4
"CCDC106",4
"CCDC126",4
"CCDC88C",4
"CCNI",4
"CD44",4
"CD9",4
"CDNF",4
"CDON",4
"CES2",4
"CFAP44",4
"CHD5",4
"CLIC1",4
"CNGA1",4
"CNRIP1",4
"CRNKL1",4
"CTD-2561B21.8",4
"CUL7",4
"CYP2J2",4
"DAPK3",4
"DARS",4
"DCUN1D1",4
"DDX20",4
"DHX38",4
"DHX9",4
"DMPK",4
"DPP9",4
