"gene","frequency"
"DYRK1A",1
"E4F1",1
"EBF1",1
"EBP",1
"ECD",1
"EDEM1",1
"EDIL3",1
"EDNRB",1
"EEF1G",1
"EFHC1",1
"EFR3A",1
"EGLN1",1
"EGLN2",1
"EHMT2",1
"EID1",1
"EIF1AD",1
"EIF3B",1
"EIF3D",1
"EIF3K",1
"EIF4E2",1
"EIF4ENIF1",1
"EIF4G2",1
"EIF4G3",1
"ELK1",1
"ELMOD2",1
"EMC10",1
"EMC7",1
"EMSY",1
"ENTPD6",1
"EPHA7",1
"EPM2AIP1",1
"EPS15L1",1
"ERCC3",1
"ERGIC1",1
"ERLIN2",1
"ESF1",1
"ESPN",1
"ETFB",1
"EVI5L",1
"EXD2",1
"EXOC2",1
"EXOC7",1
"EXOSC10",1
"EXOSC9",1
"EXTL2",1
"FAF2",1
"FAM120B",1
"FAM127A",1
"FAM168A",1
"FAM171B",1
"FAM192A",1
"FAM199X",1
"FAM234B",1
"FAM3C",1
"FAM8A1",1
"FAN1",1
"FBXL19",1
"FBXL2",1
"FBXL5",1
"FBXO18",1
"FBXO28",1
"FBXO41",1
"FCHSD2",1
"FEZ1",1
"FGFR1OP2",1
"FH",1
"FKBP3",1
"FKTN",1
"FLVCR1",1
"FMN1",1
"FN3KRP",1
"FOXJ2",1
"FOXRED1",1
"FRS3",1
"FUNDC2",1
"FYN",1
"FYTTD1",1
"G6PC3",1
"GABBR1",1
"GAK",1
"GALK2",1
"GALNT11",1
"GANAB",1
"GAPVD1",1
"GAS8",1
"GCN1",1
"GDI2",1
"GDPD5",1
"GFOD2",1
"GGA3",1
"GGNBP2",1
"GGT7",1
"GHITM",1
"GIGYF2",1
"GIPC1",1
"GIT1",1
"GLRA2",1
"GLS2",1
"GLT8D1",1
"GNAO1",1
"GNPTAB",1
"GNS",1
"GOLGA2",1
"GORASP1",1
"GPALPP1",1
"GPAT4",1
"GPATCH11",1
"GPATCH2L",1
"GPBP1",1
"GPD2",1
"GPKOW",1
"GPM6A",1
"GPR107",1
"GPR137",1
"GPR180",1
"GPR37",1
"GPS1",1
"GPT2",1
"GRIA4",1
"GRK6",1
"GRN",1
"GRSF1",1
"GRTP1",1
"GSE1",1
"GSK3A",1
"GSPT1",1
"GSTCD",1
"GTF2IRD1",1
"GTF3C1",1
"H2AFZ",1
"HAGH",1
"HARS",1
"HAT1",1
"HBP1",1
"HBS1L",1
"HDAC1",1
"HDAC5",1
"HDDC2",1
"HECTD1",1
"HECW1",1
"HEXA",1
"HEXB",1
"HGS",1
"HIGD2A",1
"HIPK1",1
"HIPK3",1
"HIRA",1
"HM13",1
"HMG20A",1
"HMP19",1
"HNRNPA3",1
"HNRNPL",1
"HNRNPM",1
"HNRNPR",1
"HNRNPU",1
"HPS3",1
"HS6ST3",1
"HSBP1",1
"HSPA13",1
"HSPA9",1
"HTATSF1",1
"HTRA2",1
"IBTK",1
"IFIT5",1
"IFT122",1
"IFT20",1
"IGSF8",1
"ING5",1
"INTS1",1
"INTS6",1
"IPO9",1
"IST1",1
"ITCH",1
"ITFG1",1
"ITGB1",1
"ITPR1",1
"JAKMIP2",1
"KANSL2",1
"KANSL3",1
"KAT5",1
"KAT6A",1
"KAT8",1
"KBTBD3",1
"KDM1A",1
"KIAA0100",1
"KIAA0319L",1
"KIAA0408",1
"KIAA0907",1
"KIAA1143",1
"KIAA1191",1
"KIAA1549L",1
"KIF2A",1
"KIF3A",1
"KIF5B",1
"KIF5C",1
"KLC1",1
"KLC2",1
"KLC4",1
"KLHDC3",1
"KLHL12",1
"KLHL36",1
"KLHL9",1
"KMT5B",1
"KRIT1",1
"L1CAM",1
"LAMTOR3",1
"LAPTM4A",1
"LATS1",1
"LCA5",1
"LCOR",1
"LDB1",1
"LDOC1",1
"LDOC1L",1
"LEPROTL1",1
"LINC00094",1
"LINGO1",1
"LIX1L",1
"LLGL2",1
"LMAN1",1
"LMBR1",1
"LMBRD2",1
"LMOD1",1
"LRBA",1
"LRCH4",1
"LRPPRC",1
"LRRC58",1
"LRRC75A-AS1",1
"LUC7L2",1
"LYPLA2",1
"MAN1A2",1
"MANBAL",1
"MAP2K4",1
"MAP2K5",1
"MAP3K4",1
"MAP3K5",1
"MAP3K7",1
"MAP4",1
"MAP4K4",1
"MAP4K5",1
"MAP7",1
"MAPK6",1
"MAPKAPK5",1
"MAPRE2",1
"MAPRE3",1
"MARCH6",1
"MARK3",1
"MARS",1
"MAST1",1
"MAST4",1
"MATR3",1
"MBTD1",1
"MCAT",1
"MCCC1",1
"MEAF6",1
"MECP2",1
"MED12",1
"MED15",1
"MEF2A",1
"MEGF9",1
"METAP2",1
"METTL13",1
"METTL15",1
"MFSD14A",1
"MGA",1
"MIA3",1
"MICAL3",1
"MIER1",1
"MIF4GD",1
"MINPP1",1
"MLEC",1
"MLF2",1
"MLST8",1
"MMAB",1
"MOB4",1
"MOGS",1
"MORC2",1
"MORN4",1
"MOSPD3",1
"MRPL3",1
"MRPL37",1
"MRPS18B",1
"MRPS35",1
"MRPS5",1
"MSL2",1
"MTCH1",1
"MTF1",1
"MTHFR",1
"MTMR9",1
"MTPAP",1
"MTX2",1
"MUM1",1
"MUS81",1
"MXRA7",1
"MYL12B",1
"MYL6",1
"MYO1B",1
"N4BP2L2",1
"NAA10",1
"NAA20",1
"NAB1",1
"NACA",1
"NAT10",1
"NAT9",1
"NBEA",1
"NCAM1",1
"NCBP2",1
"NCBP3",1
"NCOA4",1
"NDFIP2",1
"NDN",1
"NDST1",1
"NDUFB11",1
"NDUFB4",1
"NDUFB5",1
"NDUFB8",1
"NEBL",1
"NEK7",1
"NEPRO",1
"NF1",1
"NF2",1
"NFE2L1",1
"NFKB1",1
"NFS1",1
"NISCH",1
"NME7",1
"NOL10",1
"NOP58",1
"NOP9",1
"NORAD",1
