sample_id,mgs_level,z0,z1,z2,z3
203,MGS4,-1.0744873,0.8598621,0.6930063,-1.068759
209,MGS4,0.3313468,0.62955433,1.9054149,0.027563952
223,MGS4,0.35694873,-0.69724995,-0.48331785,0.44238165
224,MGS4,-0.7193087,-0.47298902,0.6735232,0.36423525
226,MGS4,-0.68202597,-0.7241604,0.9424788,-0.42634764
228,MGS4,0.18574269,-1.1208332,0.8615339,-0.15963173
232,MGS4,-1.0838751,1.1976464,0.57573324,-0.12293417
234,MGS4,0.3069439,1.3171738,-0.003009193,0.24863091
249,MGS4,0.7173512,-0.61871916,-0.04033249,-1.6691709
253,MGS4,0.16020885,-1.5410022,0.8132765,1.681499
270,MGS4,1.2613939,0.040667094,1.4136981,0.66344947
272,MGS4,0.12157871,-2.0427742,0.65646154,0.9634878
280,MGS4,0.99135894,1.0902104,-0.8092926,-0.23331425
284,MGS4,-0.43477553,-0.6994999,1.9030417,0.9408845
294,MGS4,-1.5250905,0.6130371,1.0463282,1.0661609
300,MGS4,0.8885918,-1.3070976,0.68355346,0.06786177
302,MGS4,-0.13235846,0.47873455,1.5916384,0.55866784
334,MGS4,-1.321712,0.26038083,0.65669024,-0.4003715
364,MGS4,-0.65917474,-0.7325533,0.9791163,1.2841299
383,MGS4,-1.0452365,0.61534685,0.08890204,0.86294764
388,MGS4,-0.6473986,-0.27039957,0.67270327,-0.8623985
397,MGS4,1.1879082,-0.6822141,-0.07553473,1.5696911
403,MGS4,-1.0769595,0.24966681,1.4656209,-0.13084695
411,MGS4,-1.0154241,-0.06886534,1.3572278,1.708858
416,MGS4,0.26599574,-1.4521427,0.09659749,1.8679571
417,MGS4,0.79501724,1.3408228,0.24915056,1.4561434
419,MGS4,-0.5315457,0.64263153,1.6969547,1.9407992
420,MGS4,-0.29456946,-1.3760909,0.92423755,1.4571657
428,MGS4,-1.4982736,-0.69811606,1.0471766,3.5766928
437,MGS4,1.2574718,-0.35793358,-0.33235103,0.9578963
451,MGS4,-0.16793935,1.7232637,1.5156816,-0.3273517
459,MGS4,-0.4896838,-0.7682099,-0.5353885,1.6132407
473,MGS4,-1.1803702,0.98834354,-1.2399601,-0.3358147
477,MGS4,0.3468989,-0.12407645,0.7969039,1.2113795
484,MGS4,0.8788335,0.60579044,0.54577893,1.2132082
497,MGS4,-0.522253,1.2713369,0.18314968,0.16517296
509,MGS4,0.901987,-0.3957846,-0.8587717,-0.21483523
515,MGS4,-1.467648,-0.3434951,0.43732166,1.7251025
516,MGS4,-1.7589936,0.31003773,1.1439792,1.5293295
521,MGS4,-0.24189997,-1.193278,-0.1738016,0.82154894
523,MGS4,-1.5931029,-0.5079625,1.6021563,2.9865506
