"","row","col","weight"
"158","ENSG00000166741","ENSG00000012223",0.843810462084812
"159","ENSG00000135046","ENSG00000116132",0.843580865791078
"160","ENSG00000204264","ENSG00000168394",0.843438198293661
"161","ENSG00000041982","ENSG00000108846",0.843341647991981
"162","ENSG00000174130","ENSG00000174600",0.84321711559079
"163","ENSG00000019582","ENSG00000196126",0.842671755899163
"164","ENSG00000174348","ENSG00000275395",0.842595804703555
"165","ENSG00000166278","ENSG00000167244",0.841820168189035
"166","ENSG00000101160","ENSG00000140931",0.841703171976039
"167","ENSG00000204287","ENSG00000205542",0.840778092012788
"168","ENSG00000082074","ENSG00000251442",0.840774422540746
"169","ENSG00000111801","ENSG00000204287",0.840637960417497
"170","ENSG00000100055","ENSG00000137841",0.840525372253472
"171","ENSG00000188488","ENSG00000041982",0.839906119571651
"172","ENSG00000110079","ENSG00000203747",0.839699123538804
"173","ENSG00000249306","ENSG00000135046",0.839565609691388
"174","ENSG00000019582","ENSG00000138964",0.839367986268975
"175","ENSG00000110077","ENSG00000150337",0.839209600348041
"176","ENSG00000164106","ENSG00000069535",0.839050153922047
"177","ENSG00000111348","ENSG00000110934",0.838742238321707
"178","ENSG00000204287","ENSG00000150337",0.837526991720653
"179","ENSG00000019582","ENSG00000100979",0.837511108152359
"180","ENSG00000180245","ENSG00000079215",0.837487035013453
"181","ENSG00000147065","ENSG00000122694",0.837438549032733
"182","ENSG00000167613","ENSG00000162511",0.837437734637985
"183","ENSG00000110077","ENSG00000134516",0.837256995091366
"184","ENSG00000180638","ENSG00000166278",0.837168729904346
"185","ENSG00000111348","ENSG00000165168",0.836993377118759
"186","ENSG00000135046","ENSG00000083857",0.836355986882029
"187","ENSG00000125730","ENSG00000129009",0.835944856810167
"188","ENSG00000110079","ENSG00000162511",0.835605639725657
"189","ENSG00000143768","ENSG00000167244",0.835198662322335
"190","ENSG00000204287","ENSG00000134516",0.834950676211951
"191","ENSG00000204472","ENSG00000110934",0.834036601450314
"192","ENSG00000181804","ENSG00000049323",0.833910540189586
"193","ENSG00000147065","ENSG00000254087",0.833776243473054
"194","ENSG00000159403","ENSG00000166278",0.833426032798151
"195","ENSG00000153029","ENSG00000132274",0.83303332837618
"196","ENSG00000019582","ENSG00000115107",0.832992888487679
"197","ENSG00000149131","ENSG00000132840",0.832858091125726
"198","ENSG00000181804","ENSG00000187210",0.83279460200957
"199","ENSG00000180245","ENSG00000137573",0.832503872918387
"200","ENSG00000125730","ENSG00000110092",0.832430370364183
"201","ENSG00000166741","ENSG00000148735",0.832298057596343
"202","ENSG00000182326","ENSG00000132840",0.832142688990996
"203","ENSG00000149131","ENSG00000204482",0.832129507549902
"204","ENSG00000154864","ENSG00000135046",0.831772719578686
"205","ENSG00000135046","ENSG00000145431",0.831663608637524
"206","ENSG00000234745","ENSG00000204642",0.83164681621841
"207","ENSG00000159403","ENSG00000174348",0.831626510773762
"208","ENSG00000138964","ENSG00000110324",0.830826960728236
"209","ENSG00000140092","ENSG00000019582",0.830704531976661
"210","ENSG00000026297","ENSG00000143226",0.830155518507599
"211","ENSG00000138193","ENSG00000111266",0.830084025077498
"212","ENSG00000131095","ENSG00000139178",0.829952910628096
"213","ENSG00000150540","ENSG00000129675",0.829911283752394
"214","ENSG00000125730","ENSG00000204252",0.829675681239938
"215","ENSG00000275395","ENSG00000179583",0.829390554707802
"216","ENSG00000182326","ENSG00000073331",0.82928437900026
"217","ENSG00000166741","ENSG00000144810",0.829046067029076
"218","ENSG00000231389","ENSG00000082074",0.828807421304741
"219","ENSG00000135077","ENSG00000162511",0.828540877500615
"220","ENSG00000146592","ENSG00000169432",0.827948795901658
"221","ENSG00000204261","ENSG00000206337",0.827942631142934
"222","ENSG00000231389","ENSG00000134516",0.827613546215081
"223","ENSG00000174348","ENSG00000137841",0.8275965886699
"224","ENSG00000041982","ENSG00000135926",0.8274413927175
"225","ENSG00000041982","ENSG00000273259",0.827271662605145
"226","ENSG00000110077","ENSG00000167613",0.827254311473376
"227","ENSG00000019582","ENSG00000273749",0.827121918362086
"228","ENSG00000155926","ENSG00000162511",0.827108945728445
"229","ENSG00000125730","ENSG00000174348",0.827017560975123
"230","ENSG00000166278","ENSG00000137441",0.826855151600498
"231","ENSG00000110077","ENSG00000196664",0.826801043318121
"232","ENSG00000188404","ENSG00000151322",0.826500186953407
"233","ENSG00000129675","ENSG00000164237",0.826497714414884
"234","ENSG00000140092","ENSG00000140931",0.826326366132375
"235","ENSG00000019582","ENSG00000204482",0.826160677186314
"236","ENSG00000115107","ENSG00000137841",0.826037745424263
"237","ENSG00000164761","ENSG00000150687",0.826010004206349
"238","ENSG00000069535","ENSG00000187210",0.825854373246169
"239","ENSG00000069535","ENSG00000147065",0.82549315710044
"240","ENSG00000171631","ENSG00000131095",0.825488714202105
"241","ENSG00000095303","ENSG00000198734",0.825447109237026
"242","ENSG00000164761","ENSG00000204381",0.825288188887681
"243","ENSG00000169432","ENSG00000197712",0.82521103249289
"244","ENSG00000167613","ENSG00000122122",0.825132248692361
"245","ENSG00000095303","ENSG00000041982",0.825059854345131
"246","ENSG00000110092","ENSG00000169129",0.824815139660973
"247","ENSG00000204287","ENSG00000026297",0.824734990584441
"248","ENSG00000197943","ENSG00000082074",0.824720929883396
"249","ENSG00000149131","ENSG00000137441",0.824715586599165
"250","ENSG00000095303","ENSG00000111783",0.824486381810414
"251","ENSG00000069535","ENSG00000164237",0.824237095181495
"252","ENSG00000101160","ENSG00000006042",0.824176441210802
"253","ENSG00000138964","ENSG00000110876",0.823556979823544
